日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾業(數值),電力消費_工業部門_紙漿紙及紙製品業(數值),電力消費_工業部門_化學材料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_金屬基本工業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電腦通信及視聽電子產品製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_運輸服務業(數值),電力消費_服務業部門_倉儲業(數值),電力消費_服務業部門_通信業(數值),電力消費_服務業部門_金融保險及不動產業(數值),電力消費_服務業部門_工商服務業(數值),電力消費_服務業部門_社會服務及個人服務(數值),電力消費_服務業部門_公共行政業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
200902,百萬度,16150.300468,1467.810308,7906.351697,406.018137,223.614667,1784.422894,304.405281,368.337188,880.567518,333.678741,2353.909428,1251.397843,115.041801,0,0.102773,111.614614,3.324414,0,0,200.020398,3253.5222288,455.241913,185.612482,102.188554,53.856439,120.568046,80.127042,111.210961,599.663491,415.1789608,1129.87434,3207.5540352
200903,百萬度,16527.629352,1619.012381,8731.980815,453.939994,269.667844,1959.257937,340.277095,365.821774,969.896285,382.872598,2737.411887,1252.835401,91.572157,0,0.102801,87.88029,3.589066,0,0,170.502406,3067.392391,404.512973,166.60137,88.849598,50.498754,107.500227,78.271389,46.572722,578.612972,410.657955,1135.314431,2847.169202
200904,百萬度,16661.501383,1552.911328,8827.248348,491.588444,271.242102,2273.783742,364.395234,383.581286,1045.302723,412.761597,2258.65632,1325.9369,96.319274,0,0.103189,92.955955,3.26013,0,0,202.949371,3233.3639946,443.103692,187.190316,96.039759,54.291658,116.607488,84.73429,84.392382,658.35944,425.9074846,1082.737485,2748.7090674
200905,百萬度,17037.399598,1527.368233,8574.061868,431.884677,254.67364,2304.295836,338.715301,338.735213,833.146541,384.858661,2444.925109,1242.82689,83.940021,0,0.103317,80.512471,3.324233,0,0,217.989771,3500.9680394,447.777032,200.575171,90.338121,52.713505,110.147032,84.691339,83.43824,666.268493,398.4795814,1366.539525,3133.0716656
200906,百萬度,19242.54063,1709.243021,10129.631695,505.099833,286.428536,2429.470697,382.387228,397.071798,1274.141823,456.027098,2930.666544,1468.338138,98.778262,0,0.103452,95.123787,3.551023,0,0,212.564884,3857.4529314,490.652215,221.146756,113.942954,63.385304,128.934805,98.883187,95.26107,823.520414,452.9841614,1368.742065,3234.8698366
200907,百萬度,20765.259432,1753.489266,10512.41358,527.418469,290.805885,2546.819953,417.842892,414.216984,1106.010041,496.461655,3114.426427,1598.411274,108.264853,0,0.103789,104.482686,3.678378,0,0,250.243314,4285.9343482,630.529175,267.417411,130.060532,68.175289,139.386206,115.737221,110.196589,830.483813,483.9836132,1509.964499,3854.9140708
200908,百萬度,20635.956015,1682.670432,9681.016068,460.186213,267.148138,2459.855404,378.087992,375.077827,1019.715778,445.5695,2828.03987,1447.335346,89.592665,0,0.103882,85.97993,3.508853,0,0,254.567967,4191.8890646,488.301746,269.126284,114.542926,63.592073,129.42724,110.379365,107.504479,756.213092,478.6040366,1674.197823,4736.2198184
200909,百萬度,21942.901013,1682.529974,10491.597034,577.712844,290.487502,2295.525784,417.069282,417.801995,1220.447264,504.790565,3144.270448,1623.49135,104.037885,0,0.104095,100.472966,3.460824,0,0,229.702957,4512.8649582,549.688843,258.436901,126.007629,66.726854,135.73826,112.372885,109.634644,872.242318,495.3442222,1786.672402,4922.1682048
200910,百萬度,20385.568013,1558.142274,9976.733529,476.666078,290.262078,2426.689696,407.670578,393.763676,1178.46821,478.848457,2853.117599,1471.247157,94.618622,0,0.104999,90.95793,3.555693,0,0,234.90312,4063.62271,510.733092,237.440343,100.307235,57.367622,120.444755,101.499086,99.838259,763.368064,451.875354,1620.7489,4457.547758
200911,百萬度,18905.926457,1545.73079,9349.910496,406.992554,280.662794,2253.392631,367.966763,378.086567,1120.869974,454.067494,2684.697576,1403.174143,91.499568,0,0.105542,87.814877,3.579149,0,0,216.264531,3816.9259706,460.99092,208.713665,93.889199,52.845747,113.773675,89.847335,90.177354,664.214002,423.3442216,1619.129852,3885.5951014
