西元年,行業代碼,行業名稱,生產總額_當期_百萬元,中間消費_當期_百萬元,GDP_當期_百萬元,GDP_連鎖實質_百萬元,GDP_平減指數
2017,CD,成衣及服飾品製造業,152340.0,117751.0,34589.0,39454.0,87.67
2017,CE,皮革、毛皮及其製品製造業,53616.0,36149.0,17467.0,22887.0,76.32
2017,CF,木竹製品製造業,49833.0,37406.0,12427.0,13123.0,94.7
2017,CG,紙漿、紙及紙製品製造業,237349.0,180966.0,56383.0,73798.0,76.4
2017,CH,印刷及資料儲存媒體複製業,122852.0,78588.0,44264.0,51318.0,86.25
2017,CI,石油及煤製品製造業,915639.0,714713.0,200926.0,152712.0,131.57
2017,CJ,化學材料及肥料製造業,2156314.0,1704899.0,451415.0,426477.0,105.85
2017,CK,其他化學製品製造業,321784.0,231157.0,90627.0,83682.0,108.3
2017,CL,藥品及醫用化學製品製造業,107004.0,64612.0,42392.0,45876.0,92.41
2017,CM,橡膠製品製造業,120066.0,74604.0,45462.0,47392.0,95.93
2017,CN,塑膠製品製造業,481164.0,342629.0,138535.0,148441.0,93.33
2017,CO,非金屬礦物製品製造業,376797.0,263770.0,113027.0,131316.0,86.07
2017,CP,基本金屬製造業,1740096.0,1434019.0,306077.0,437236.0,70.0
2017,CQ,金屬製品製造業,1090817.0,727940.0,362877.0,365585.0,99.26
2017,CR,電子零組件製造業,5040313.0,2790880.0,2249433.0,2138374.0,105.19
2017,CS,電腦、電子產品及光學製品製造業,2308163.0,1714213.0,593950.0,533006.0,111.43
2017,CT,電力設備及配備製造業,665791.0,500380.0,165411.0,173404.0,95.39
2017,CU,機械設備製造業,1070430.0,785088.0,285342.0,262574.0,108.67
2017,CV,汽車及其零件製造業,507413.0,359966.0,147447.0,136007.0,108.41
2017,CW,其他運輸工具及其零件製造業,384530.0,291674.0,92856.0,85980.0,108.0
2017,CX,家具製造業,86276.0,65557.0,20719.0,19747.0,104.92
2017,CY,其他製造業,432571.0,303177.0,129394.0,123049.0,105.16
2017,D,電力及燃氣供應業,712622.0,472034.0,240588.0,207160.0,116.14
2017,E,用水供應及污染整治業,223035.0,118321.0,104714.0,105948.0,98.84
2017,F,營建工程業,1501633.0,1087186.0,414447.0,540768.0,76.64
2017,G,批發及零售業,3782253.0,1059919.0,2722334.0,2793567.0,97.45
2017,GDP,GDP,,,18012387.0,18602118.0,96.83
2017,H,運輸及倉儲業,1280803.0,738501.0,542302.0,1029374.0,52.68
2017,I,住宿及餐飲業,973375.0,522021.0,451354.0,468641.0,96.31
2017,ICT,ICT產業,8107626.0,4813985.0,3293641.0,3094324.0,106.44
2017,J,出版影音及資通訊業,1028094.0,473386.0,554708.0,514086.0,107.9
2017,K,金融及保險業,1690476.0,518720.0,1171756.0,1157008.0,101.27
2017,L,不動產及住宅服務業,1851946.0,410759.0,1441187.0,1498059.0,96.2
2017,M,專業、科學及技術服務業,689458.0,285013.0,404445.0,434192.0,93.15
2017,N,支援服務業,450555.0,145037.0,305518.0,315543.0,96.82
2017,O,公共行政及國防；強制性社會安全,1444005.0,391023.0,1052982.0,1124991.0,93.6
2017,P,教育業,894580.0,159052.0,735528.0,758503.0,96.97
2017,Q,醫療保健及社會工作服務業,839257.0,305126.0,534131.0,588053.0,90.83
2017,R,藝術、娛樂及休閒服務業,231264.0,85921.0,145343.0,150903.0,96.32
2017,S,其他服務業,647403.0,217265.0,430138.0,450191.0,95.55
2017,加值型營業稅,加值型營業稅,318310.0,,318310.0,328079.0,97.02
2017,合計,合計,38608587.0,21065130.0,17543457.0,18191929.0,96.44
