西元年,行業代碼,行業名稱,貢獻度_百分點
2024,I,住宿及餐飲業,-0.05
2024,ICT,ICT產業,3.3
2024,J,出版影音及資通訊業,0.02
2024,K,金融及保險業,0.96
2024,L,不動產及住宅服務業,0.33
2024,M,專業、科學及技術服務業,0.16
2024,N,支援服務業,0.08
2024,O,公共行政及國防；強制性社會安全,0.06
2024,P,教育業,-0.01
2024,Q,醫療保健及社會工作服務業,0.15
2024,R,藝術、娛樂及休閒服務業,0.04
2024,S,其他服務業,0.06
2024,加值型營業稅,加值型營業稅,0.13
2024,合計,合計,6.13
2024,總計(生產面),總計(生產面),6.43
2024,進口稅,進口稅,0.17
2025,3級_工業,工業,6.03
2025,3級_服務業,服務業,2.07
2025,3級_農業,農業,-0.03
2025,A,農、林、漁、牧業,-0.03
2025,B,礦業及土石採取業,0.0
2025,C,製造業,5.89
2025,D,電力及燃氣供應業,0.0
2025,E,用水供應及污染整治業,0.01
2025,F,營建工程業,0.13
2025,G,批發及零售業,0.92
2025,GDP,GDP,8.68
2025,H,運輸及倉儲業,0.07
2025,I,住宿及餐飲業,0.01
2025,ICT,ICT產業,
2025,J,出版影音及資通訊業,0.15
2025,K,金融及保險業,0.36
2025,L,不動產及住宅服務業,-0.08
2025,M,專業、科學及技術服務業,0.06
2025,N,支援服務業,0.11
2025,O,公共行政及國防；強制性社會安全,0.07
2025,P,教育業,0.0
2025,Q,醫療保健及社會工作服務業,0.11
2025,R,藝術、娛樂及休閒服務業,0.1
2025,S,其他服務業,0.03
2025,加值型營業稅,加值型營業稅,-0.11
2025,合計,合計,7.91
2025,總計(生產面),總計(生產面),8.07
2025,進口稅,進口稅,0.27
