西元年,月,日,峰値負載_MW,備轉容量_MW,備轉容量率_pct
2018,6,20,3224.4,224.6,6.97
2018,6,21,3317.6,217.5,6.56
2018,6,22,3374.8,232.2,6.88
2018,6,23,3017.5,206.8,6.85
2018,6,24,2917.4,193.0,6.62
2018,6,25,3510.8,228.2,6.50
2018,6,26,3525.9,244.5,6.93
2018,6,27,3512.2,241.5,6.88
2018,6,28,3544.8,234.4,6.61
2018,6,29,3496.6,242.9,6.95
2018,6,30,3048.4,204.5,6.71
2018,7,1,2901.6,198.6,6.85
2018,7,2,3315.1,238.5,7.19
2018,7,3,3413.8,221.7,6.49
2018,7,4,3374.4,229.5,6.80
2018,7,5,3315.7,229.7,6.93
2018,7,6,3430.6,226.1,6.59
2018,7,7,3039.9,208.4,6.86
2018,7,8,2891.6,193.6,6.69
2018,7,9,3495.1,229.2,6.56
2018,7,10,3475.3,225.9,6.50
2018,7,11,3120.3,214.6,6.88
2018,7,12,3440.8,220.9,6.42
2018,7,13,3499.0,221.7,6.34
2018,7,14,3127.9,229.2,7.33
2018,7,15,2929.6,298.7,10.19
2018,7,16,3517.8,276.9,7.87
2018,7,17,3620.0,251.4,6.94
2018,7,18,3646.0,236.0,6.47
2018,7,19,3670.5,234.7,6.39
2018,7,20,3574.0,234.2,6.55
2018,7,21,3132.7,293.1,9.36
2018,7,22,2933.3,267.2,9.11
2018,7,23,3423.9,294.8,8.61
2018,7,24,3597.6,229.2,6.37
2018,7,25,3590.1,239.9,6.68
2018,7,26,3580.6,229.6,6.41
2018,7,27,3567.5,244.3,6.85
2018,7,28,3137.6,250.4,7.98
2018,7,29,3062.3,207.3,6.77
2018,7,30,3631.8,238.6,6.57
2018,7,31,3690.6,235.6,6.38
2018,8,1,3735.1,230.5,6.17
2018,8,2,3612.2,245.7,6.80
2018,8,3,3611.6,242.9,6.73
2018,8,4,3190.5,308.8,9.68
2018,8,5,2966.0,355.6,11.99
2018,8,6,3608.9,241.3,6.69
2018,8,7,3613.2,247.4,6.85
2018,8,8,3619.1,249.2,6.89
2018,8,9,3587.2,247.2,6.89
2018,8,10,3602.0,235.6,6.54
2018,8,11,3172.1,332.8,10.49
2018,8,12,3009.5,257.4,8.55
2018,8,13,3473.9,239.8,6.90
2018,8,14,3482.7,235.2,6.75
2018,8,15,3395.4,247.4,7.29
2018,8,16,3436.8,227.5,6.62
2018,8,17,3518.2,226.6,6.44
2018,8,18,3008.7,367.6,12.22
2018,8,19,2865.4,303.6,10.59
2018,8,20,3437.5,237.2,6.90
2018,8,21,3467.5,222.2,6.41
2018,8,22,3478.4,236.5,6.80
2018,8,23,3474.6,216.0,6.22
2018,8,24,3015.8,384.6,12.75
2018,8,25,2917.4,328.1,11.24
2018,8,26,2809.7,299.8,10.67
2018,8,27,3232.9,384.2,11.88
2018,8,28,3192.2,406.8,12.74
2018,8,29,3210.9,352.7,10.98
