YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs,Temp_Diff,Power_Diff
201610,寶山,3.3278,Hsinchu,26.8,181.3,-1.0999999999999979,0.10339999999999971
201611,寶山,3.0753,Hsinchu,22.3,143.1,-4.5,-0.25249999999999995
201612,寶山,3.0866,Hsinchu,19.5,150.1,-2.8000000000000007,0.011299999999999866
201701,寶山,2.975,Hsinchu,17.7,107.9,-1.8000000000000007,-0.1115999999999997
201702,寶山,2.6802,Hsinchu,16.3,110.6,-1.3999999999999986,-0.29479999999999995
201703,寶山,2.9896,Hsinchu,17.7,90.9,1.3999999999999986,0.3093999999999997
201704,寶山,2.9737,Hsinchu,22.2,148.4,4.5,-0.015899999999999803
201705,寶山,3.1692,Hsinchu,25.7,132.7,3.5,0.1955
201706,寶山,3.1878,Hsinchu,28,172.9,2.3000000000000007,0.018600000000000172
201707,寶山,3.2892,Hsinchu,29.5,252.8,1.5,0.10139999999999993
201708,寶山,3.2892,Hsinchu,30.3,271.5,0.8000000000000007,0
201709,寶山,3.2081,Hsinchu,29,201.3,-1.3000000000000007,-0.08110000000000017
201710,寶山,3.1582,Hsinchu,25.8,192.7,-3.1999999999999993,-0.049900000000000055
201711,寶山,2.9661,Hsinchu,22,83.3,-3.8000000000000007,-0.19209999999999994
201712,寶山,2.907,Hsinchu,17.5,114.3,-4.5,-0.05909999999999993
201801,寶山,2.8868,Hsinchu,16.3,116.6,-1.1999999999999993,-0.020199999999999996
201802,寶山,2.5817,Hsinchu,14.6,73,-1.700000000000001,-0.3050999999999999
201803,寶山,2.9244,Hsinchu,19.3,181.6,4.700000000000001,0.3426999999999998
201804,寶山,2.9063,Hsinchu,23,140.2,3.6999999999999993,-0.018100000000000005
201805,寶山,3.1355,Hsinchu,27.4,228.4,4.399999999999999,0.22920000000000007
201806,寶山,3.0543,Hsinchu,28.5,184.6,1.1000000000000014,-0.08119999999999994
201807,寶山,3.212,Hsinchu,29.9,229.7,1.3999999999999986,0.15770000000000017
201808,寶山,3.2217,Hsinchu,29,175.5,-0.8999999999999986,0.009699999999999598
201809,寶山,3.1228,Hsinchu,27.7,188.9,-1.3000000000000007,-0.09889999999999999
