日期(年/月),單位,電力消費_總計(數值),電力消費_能源部門自用(數值),電力消費_工業部門_合計(數值),電力消費_工業部門_紡織成衣及服飾品製造業(數值),電力消費_工業部門_紙漿紙及紙製品製造業(數值),電力消費_工業部門_化學材料及肥料製造業(數值),電力消費_工業部門_塑膠製品製造業(數值),電力消費_工業部門_非金屬礦物製品製造業(數值),電力消費_工業部門_基本金屬製造業(數值),電力消費_工業部門_金屬製品製造業(數值),電力消費_工業部門_電子產品及電力設備製造業(數值),電力消費_工業部門_其他(數值),電力消費_運輸部門_合計(數值),電力消費_運輸部門_國內航空(數值),電力消費_運輸部門_公路(數值),電力消費_運輸部門_鐵路(數值),電力消費_運輸部門_管線運輸(數值),電力消費_運輸部門_國內水運(數值),電力消費_運輸部門_其他(數值),電力消費_農業部門(數值),電力消費_服務業部門_合計(數值),電力消費_服務業部門_批發及零售業(數值),電力消費_服務業部門_運輸及倉儲業(數值),電力消費_服務業部門_住宿及餐飲業(數值),電力消費_服務業部門_出版影音及資通訊業(數值),電力消費_服務業部門_金融及保險業(數值),電力消費_服務業部門_不動產業(數值),電力消費_服務業部門_專業科學及技術服務業(數值),電力消費_服務業部門_支援服務業(數值),電力消費_服務業部門_公共行政及國防(數值),電力消費_服務業部門_教育業(數值),電力消費_服務業部門_醫療保險及社會工作服務業(數值),電力消費_服務業部門_藝術娛樂及休閒服務業(數值),電力消費_服務業部門_其他(數值),電力消費_住宅部門(數值)
201812,百萬度,20775.68617799,1585.638212,12213.41352993,481.942113,302.887491,2674.833989,437.295488,503.714989,1623.442368,575.36986055,4126.40789538,1487.519336,130.941871,0,5.219369,122.433121,3.289381,0,0,238.1349939,3595.36557704,969.29076553,222.320504,562.215588,273.90593358,144.09186,115.71513179,107.93804426,58.967137,334.89362154,262.12137456,246.58155255,98.42836,198.89570423,3012.19199412
201901,百萬度,20846.87996299,1534.303079,12202.44283522,494.025879,312.449016,2678.06406,445.417978,493.076063,1613.462478,569.34134122,4082.21664536,1514.38937464,127.56723,0,5.764838,118.602993,3.199399,0,0,219.03331232,3496.74088407,945.40298872,219.212234,527.960129,276.46041737,140.422015,113.67128969,103.9164889,58.867545,331.87576636,227.51997609,236.93827767,81.213939,233.27981727,3266.79262238
201902,百萬度,18362.42327402,1380.932564,10335.06604069,391.837424,248.601327,2352.375785,342.024907,398.461491,1346.777384,431.73216023,3617.30326077,1205.95230169,122.427867,0,5.471306,113.768215,3.188346,0,0,218.96321659,3116.51191018,840.03458845,193.817333,486.375186,253.86247695,116.505014,99.38961676,89.67351851,51.48304,287.91860784,190.09720608,211.81972922,85.154341,210.38125237,3188.52167556
201903,百萬度,20853.683674,1634.252915,12160.24111744,502.855206,303.517152,2609.39556,436.832461,487.650253,1647.197758,539.47560011,4164.29255461,1469.02457272,129.527122,0,5.969348,120.372388,3.185386,0,0,219.16571572,3432.3635143,899.5265861,218.966619,517.403701,275.70561094,130.697619,107.75375603,100.35198022,57.792041,306.45494685,256.13947807,243.38969923,92.420731,225.76074586,3278.13328954
201904,百萬度,20715.77171,1575.480509,12010.81525577,491.739323,280.476851,2525.727367,436.623465,473.262823,1571.238252,549.44718218,4196.17560312,1486.12438947,130.459394,0,6.042612,121.407308,3.009474,0,0,229.49103341,3565.86303189,910.69793751,244.086861,528.426918,272.15511055,136.995992,109.91097912,102.73262455,58.33746,319.29714078,291.41708186,263.63055981,98.034702,230.13966471,3203.66248593
201905,百萬度,22469.640845,1737.170165,12784.61934753,522.071966,313.205675,2699.127642,471.440306,490.891643,1623.202833,580.9755056,4456.81547168,1626.88830525,132.238462,0,6.314439,122.676921,3.247102,0,0,253.17272768,4041.49235524,1055.43180105,269.058815,623.724043,298.12928131,159.078613,124.74055555,119.59719431,66.398506,323.93949857,332.79377146,290.65933968,110.965316,266.97562031,3520.94778755
201906,百萬度,22780.98848479,1720.8940968,12377.73961867,484.711662,295.604167,2588.256327,447.009032,482.053642,1525.924357,557.92028316,4351.51658097,1644.74356754,131.772874,0,6.458143,122.244253,3.070478,0,0,261.85373054,4198.28745697,1063.70724894,284.417253,655.783063,291.64493002,161.579266,125.73453378,120.73249102,65.956748,341.31978684,335.36993495,307.38635841,118.725528,325.93031501,4090.44070781
201907,百萬度,24146.70242398,1762.690436,13186.97124039,522.443495,321.680041,2784.66851,479.602626,492.539754,1570.882827,590.76804836,4680.53431825,1743.85162078,138.056556,0,6.768095,128.1565,3.131961,0,0,267.8148316,4436.93815562,1154.32708971,304.241409,712.343837,307.77466997,182.810745,130.47666895,130.35464797,68.633496,373.9943568,299.30979095,340.38770335,131.912333,300.37140792,4354.23120437
201908,百萬度,24853.14669201,1811.451439,13209.47147425,519.783882,307.297573,2814.182781,481.536014,493.734333,1563.444723,596.89660227,4692.0772008,1740.51836518,136.473901,0,6.860278,126.210187,3.403436,0,0,293.47278001,4523.00359779,1146.86130038,317.070359,749.89805,309.12238208,177.900749,119.52247089,120.82123108,64.67479,393.54227297,286.86726083,345.41753654,141.533748,349.77144702,4879.27349996
201909,百萬度,24187.34744901,1576.774461,12300.10280445,479.262231,294.24016,2452.983606,453.583065,470.419282,1488.499051,561.84933149,4431.56779261,1667.69828535,132.293377,0,7.108378,122.068546,3.116453,0,0,288.09809708,4491.90186859,1177.16556373,304.88823,769.750321,311.20896465,173.947089,110.8353326,111.87084434,64.319559,376.33570572,328.86440135,317.69216989,137.755805,307.26788231,5398.17684089
