period,西元年,季,industry_code,industry_name,貢獻度_百分點,年增率_pct
1985Q4,1985,4,3級_工業,工業,1.43,-44.57
1985Q4,1985,4,3級_服務業,服務業,3.71,1.09
1985Q4,1985,4,3級_農業,農業,0.11,-42.11
1985Q4,1985,4,A,農、林、漁、牧業,0.11,-42.11
1985Q4,1985,4,B,礦業及土石採取業,0.02,
1985Q4,1985,4,C,製造業,1.26,-42.47
1985Q4,1985,4,D,電力及燃氣供應業,-0.07,
1985Q4,1985,4,E,用水供應及污染整治業,0.06,50.0
1985Q4,1985,4,F,營建工程業,0.16,23.08
1985Q4,1985,4,G,批發及零售業,0.83,-10.75
1985Q4,1985,4,GDP,GDP,5.81,-19.97
1985Q4,1985,4,H,運輸及倉儲業,0.36,-18.18
1985Q4,1985,4,I,住宿及餐飲業,0.26,13.04
1985Q4,1985,4,J,出版影音及資通訊業,0.17,-22.73
1985Q4,1985,4,K,金融及保險業,0.79,507.69
1985Q4,1985,4,L,不動產及住宅服務業,0.43,2.38
1985Q4,1985,4,M,專業、科學及技術服務業,0.09,50.0
1985Q4,1985,4,N,支援服務業,0.01,-50.0
1985Q4,1985,4,O,公共行政及國防；強制性社會安全,0.44,-29.03
1985Q4,1985,4,P,教育業,0.13,-53.57
1985Q4,1985,4,Q,醫療保健及社會工作服務業,0.1,11.11
1985Q4,1985,4,R,藝術、娛樂及休閒服務業,0.05,0.0
1985Q4,1985,4,S,其他服務業,0.25,78.57
1985Q4,1985,4,加值型營業稅,加值型營業稅,0.0,
1985Q4,1985,4,合計,合計,5.45,-14.84
1985Q4,1985,4,總計(生產面),總計(生產面),5.25,-18.48
1985Q4,1985,4,進口稅,進口稅,-0.2,
1986Q1,1986,1,3級_工業,工業,5.61,461.0
1986Q1,1986,1,3級_服務業,服務業,5.08,15.45
1986Q1,1986,1,3級_農業,農業,0.42,162.5
1986Q1,1986,1,A,農、林、漁、牧業,0.42,162.5
1986Q1,1986,1,B,礦業及土石採取業,0.09,
1986Q1,1986,1,C,製造業,5.08,586.49
1986Q1,1986,1,D,電力及燃氣供應業,0.22,450.0
1986Q1,1986,1,E,用水供應及污染整治業,0.03,-62.5
1986Q1,1986,1,F,營建工程業,0.19,35.71
1986Q1,1986,1,G,批發及零售業,1.29,37.23
1986Q1,1986,1,GDP,GDP,10.18,79.54
1986Q1,1986,1,H,運輸及倉儲業,0.25,-45.65
1986Q1,1986,1,I,住宿及餐飲業,0.12,-62.5
1986Q1,1986,1,J,出版影音及資通訊業,0.14,-53.33
1986Q1,1986,1,K,金融及保險業,1.44,182.35
1986Q1,1986,1,L,不動產及住宅服務業,0.64,36.17
1986Q1,1986,1,M,專業、科學及技術服務業,0.07,-36.36
1986Q1,1986,1,N,支援服務業,-0.02,
1986Q1,1986,1,O,公共行政及國防；強制性社會安全,0.28,-55.56
1986Q1,1986,1,P,教育業,0.07,-65.0
1986Q1,1986,1,Q,醫療保健及社會工作服務業,0.11,10.0
1986Q1,1986,1,R,藝術、娛樂及休閒服務業,0.04,-33.33
1986Q1,1986,1,S,其他服務業,0.21,10.53
1986Q1,1986,1,加值型營業稅,加值型營業稅,0.0,
1986Q1,1986,1,合計,合計,10.67,95.06
1986Q1,1986,1,總計(生產面),總計(生產面),11.11,99.82
1986Q1,1986,1,進口稅,進口稅,0.44,388.89
1986Q2,1986,2,3級_工業,工業,4.3,2587.5
1986Q2,1986,2,3級_服務業,服務業,4.67,44.14
1986Q2,1986,2,3級_農業,農業,0.16,
1986Q2,1986,2,A,農、林、漁、牧業,0.16,
1986Q2,1986,2,B,礦業及土石採取業,0.05,
1986Q2,1986,2,C,製造業,4.36,
1986Q2,1986,2,D,電力及燃氣供應業,-0.24,
1986Q2,1986,2,E,用水供應及污染整治業,0.03,
1986Q2,1986,2,F,營建工程業,0.1,-16.67
1986Q2,1986,2,G,批發及零售業,0.91,62.5
1986Q2,1986,2,GDP,GDP,9.55,125.24
1986Q2,1986,2,H,運輸及倉儲業,0.2,-41.18
1986Q2,1986,2,I,住宿及餐飲業,0.16,-33.33
1986Q2,1986,2,J,出版影音及資通訊業,0.27,35.0
1986Q2,1986,2,K,金融及保險業,0.92,39.39
1986Q2,1986,2,L,不動產及住宅服務業,0.55,27.91
1986Q2,1986,2,M,專業、科學及技術服務業,0.05,-16.67
1986Q2,1986,2,N,支援服務業,-0.02,
1986Q2,1986,2,O,公共行政及國防；強制性社會安全,0.31,-42.59
1986Q2,1986,2,P,教育業,0.09,-47.06
1986Q2,1986,2,Q,醫療保健及社會工作服務業,0.14,40.0
