西元年,月,年月,原油及石油產品,地熱,天然氣,太陽光電,核能,水力,煤及煤產品,生質能及廢棄物,自產天然氣,進口液化天然氣,電力,風力,再生能源合計,化石燃料合計,再生能源佔比_%
2019,6,201906,5243991.446073871,63.199,1169047.7467549683,345191.52359,2859820.4,882769.886,3125263.66944,130696.180476617,16825.768,1528186.7874943365,0.0,68337.161,1427057.9500666172,11083315.417763175,11.41
2019,7,201907,5515329.665795264,39.214,1574747.2424590262,376045.02179,2927579.0,536692.532,3658860.040216,139268.54453553338,17129.757,2063439.909379248,0.0,90388.521,1142433.8333255334,12829506.614849538,8.18
2019,8,201908,5654601.641332103,62.479,1372806.7706983748,393637.73579,2922067.8,823390.059,3662458.344736,134990.6474902075,16126.779,1797770.022655188,0.0,83568.399,1435649.3202802076,12503763.558421664,10.3
2019,9,201909,4043459.868545169,100.136,1462081.2805353033,400530.55679,2862321.4,536637.598,3467294.827224,123085.02005333551,14665.56,1916911.2369732668,0.0,151592.324,1211945.6348433355,10904412.773277739,10.0
2019,10,201910,4598469.848328449,118.484,1445887.780170837,418594.94679,2564312.6,401993.775,3608264.99148,116911.8071360863,11323.499,1898506.53738106,0.0,226603.344,1164222.3569260864,11562452.656360347,9.15
2019,11,201911,4398444.752259631,86.345,1509458.0355538467,377411.47914,2174782.8,265256.614,3045284.946416,114931.42409205741,9706.397,1983856.698486633,0.0,305416.085,1063101.9472320573,10946750.82971611,8.85
2019,12,201912,5252162.131844276,128.918,1630110.5449532326,316888.51496,2972461.6,163856.326,2713821.8434,135208.6303450424,10173.611,2142702.7095604893,0.0,257286.393,873368.7823050423,11748970.840757998,6.92
2020,1,202001,4974714.825432868,42.932,1370649.6419638158,300462.49196,2976718.4,194332.412,2860592.162568,135099.1124522561,9666.132,1800665.4100589035,0.0,184966.97,814903.918412256,11016288.172023587,6.89
2020,2,202002,5261792.810066134,142.828,1486579.10392217,433948.31096,2538982.42,239588.367,2614229.22908,126218.7654086955,8964.557,1954315.9220661533,0.0,190314.954,990213.2253686953,11325881.622134458,8.04
2020,3,202003,4755475.415134851,97.378,1427245.85221464,462881.01056,2230354.84,245824.936,2658375.680896,126889.0119288552,8147.917,1876721.932034436,0.0,163886.516,999578.8524888552,10725966.797279928,8.52
