period,民國年月,area_code,area_name,總人口,男性,女性,幼年_0_14,工作年齡_15_64,老年_65plus,男_0_14,女_0_14,男_15_64,女_15_64,男_65plus,女_65plus
2016-04,10504,10015000,花蓮縣,331498,168902,162596,41857,242336,47305,21907,19950,124951,117385,22044,25261
2016-04,10504,10016000,澎湖縣,102369,52793,49576,11535,75641,15193,6032,5503,39742,35899,7019,8174
2016-04,10504,10017000,基隆市,372037,186805,185232,41248,280805,49984,21555,19693,142378,138427,22872,27112
2016-04,10504,10018000,新竹市,434674,215046,219628,76452,311828,46394,39928,36524,154262,157566,20856,25538
2016-04,10504,10020000,嘉義市,270463,131828,138635,39432,195983,35048,20609,18823,95651,100332,15568,19480
2016-04,10504,63000000,臺北市,2703829,1294385,1409444,376379,1921111,406339,195308,181071,915326,1005785,183751,222588
2016-04,10504,64000000,高雄市,2778107,1379945,1398162,347149,2072788,358170,180278,166871,1033037,1039751,166630,191540
2016-04,10504,65000000,新北市,3971000,1950343,2020657,512935,3017229,440836,267170,245765,1479228,1538001,203945,236891
2016-04,10504,66000000,臺中市,2750322,1359218,1391104,409885,2051834,288603,212958,196927,1012241,1039593,134019,154584
2016-04,10504,67000000,臺南市,1885252,943384,941868,239130,1395166,250956,124330,114800,704047,691119,115007,135949
2016-04,10504,68000000,桃園市,2116988,1057689,1059299,327167,1581350,208471,170716,156451,788162,793188,98811,109660
2016-05,10505,00000000,全國,23503349,11710494,11792855,3165876,17333099,3004374,1648696,1517180,8673276,8659823,1388522,1615852
2016-05,10505,09007000,連江縣,12518,7166,5352,1565,9705,1248,836,729,5670,4035,660,588
2016-05,10505,09020000,金門縣,133150,66713,66437,13546,104335,15269,7055,6491,52347,51988,7311,7958
2016-05,10505,10002000,宜蘭縣,457811,232017,225794,57660,333857,66294,29998,27662,171073,162784,30946,35348
2016-05,10505,10004000,新竹縣,544198,278497,265701,91703,389642,62853,47871,43832,200334,189308,30292,32561
2016-05,10505,10005000,苗栗縣,561755,289647,272108,78044,402357,81354,41006,37038,209914,192443,38727,42627
2016-05,10505,10007000,彰化縣,1288776,657875,630901,177560,932808,178408,92998,84562,482981,449827,81896,96512
2016-05,10505,10008000,南投縣,507421,260234,247187,59847,369107,78467,31105,28742,192485,176622,36644,41823
2016-05,10505,10009000,雲林縣,697318,362508,334810,86437,494281,116600,45206,41231,264428,229853,52874,63726
2016-05,10505,10010000,嘉義縣,517698,269461,248237,54383,372586,90729,28459,25924,199781,172805,41221,49508
2016-05,10505,10013000,屏東縣,839001,429674,409327,95860,619137,124004,49981,45879,321089,298048,58604,65400
2016-05,10505,10014000,臺東縣,221633,114722,106911,27815,161266,32552,14508,13307,85139,76127,15075,17477
2016-05,10505,10015000,花蓮縣,331379,168829,162550,41763,242153,47463,21857,19906,124840,117313,22132,25331
2016-05,10505,10016000,澎湖縣,102396,52802,49594,11518,75663,15215,6014,5504,39752,35911,7036,8179
2016-05,10505,10017000,基隆市,371878,186667,185211,41128,280582,50168,21455,19673,142270,138312,22942,27226
2016-05,10505,10018000,新竹市,434955,215156,219799,76398,311967,46590,39894,36504,154317,157650,20945,25645
2016-05,10505,10020000,嘉義市,270295,131764,138531,39351,195801,35143,20574,18777,95593,100208,15597,19546
2016-05,10505,63000000,臺北市,2702930,1293702,1409228,375971,1919338,407621,195036,180935,914412,1004926,184254,223367
2016-05,10505,64000000,高雄市,2777784,1379620,1398164,346473,2071731,359580,179929,166544,1032479,1039252,167212,192368
2016-05,10505,65000000,新北市,3972003,1950653,2021350,512666,3015934,443403,266985,245681,1478706,1537228,204962,238441
2016-05,10505,66000000,臺中市,2752413,1360072,1392341,409888,2052500,290025,212934,196954,1012580,1039920,134558,155467
2016-05,10505,67000000,臺南市,1885199,943267,941932,238723,1394779,251697,124102,114621,703843,690936,115322,136375
2016-05,10505,68000000,桃園市,2120838,1059448,1061390,327577,1583570,209691,170893,156684,789243,794327,99312,110379
2016-06,10506,00000000,全國,23508362,11711541,11796821,3162311,17330560,3015491,1646952,1515359,8671427,8659133,1393162,1622329
2016-06,10506,09007000,連江縣,12536,7171,5365,1572,9714,1250,844,728,5665,4049,662,588
2016-06,10506,09020000,金門縣,133185,66724,66461,13552,104322,15311,7059,6493,52327,51995,7338,7973
2016-06,10506,10002000,宜蘭縣,457808,231992,225816,57535,333835,66438,29926,27609,171056,162779,31010,35428
2016-06,10506,10004000,新竹縣,544624,278667,265957,91625,389970,63029,47830,43795,200471,189499,30366,32663
2016-06,10506,10005000,苗栗縣,561495,289526,271969,77884,402149,81462,40897,36987,209864,192285,38765,42697
2016-06,10506,10007000,彰化縣,1288803,657777,631026,177311,932755,178737,92855,84456,482884,449871,82038,96699
2016-06,10506,10008000,南投縣,507210,260101,247109,59641,368969,78600,30986,28655,192395,176574,36720,41880
2016-06,10506,10009000,雲林縣,697105,362343,334762,86241,494085,116779,45084,41157,264265,229820,52994,63785
2016-06,10506,10010000,嘉義縣,517339,269265,248074,54136,372327,90876,28327,25809,199627,172700,41311,49565
2016-06,10506,10013000,屏東縣,838584,429362,409222,95640,618614,124330,49878,45762,320779,297835,58705,65625
2016-06,10506,10014000,臺東縣,221504,114637,106867,27738,161180,32586,14477,13261,85092,76088,15068,17518
2016-06,10506,10015000,花蓮縣,331372,168800,162572,41698,242117,47557,21849,19849,124781,117336,22170,25387
2016-06,10506,10016000,澎湖縣,102329,52744,49585,11518,75569,15242,6013,5505,39684,35885,7047,8195
2016-06,10506,10017000,基隆市,371837,186587,185250,41010,280465,50362,21375,19635,142190,138275,23022,27340
2016-06,10506,10018000,新竹市,435238,215235,220003,76409,312032,46797,39847,36562,154346,157686,21042,25755
2016-06,10506,10020000,嘉義市,270254,131733,138521,39255,195768,35231,20526,18729,95587,100181,15620,19611
2016-06,10506,63000000,臺北市,2702925,1293639,1409286,376140,1917873,408912,195275,180865,913616,1004257,184748,224164
2016-06,10506,64000000,高雄市,2778092,1379503,1398589,345960,2070958,361174,179655,166305,1032000,1038958,167848,193326
2016-06,10506,65000000,新北市,3972204,1950470,2021734,511595,3014742,445867,266365,245230,1478115,1536627,205990,239877
2016-06,10506,66000000,臺中市,2754191,1360893,1393298,409660,2053211,291320,212847,196813,1012949,1040262,135097,156223
2016-06,10506,67000000,臺南市,1885388,943349,942039,238438,1394288,252662,124045,114393,703560,690728,115744,136918
2016-06,10506,68000000,桃園市,2124339,1061023,1063316,327753,1585617,210969,170992,156761,790174,795443,99857,111112
2016-07,10507,00000000,全國,23514750,11713460,11801290,3159195,17328865,3026690,1645368,1513827,8670177,8658688,1397915,1628775
2016-07,10507,09007000,連江縣,12531,7157,5374,1573,9698,1260,843,730,5649,4049,665,595
2016-07,10507,09020000,金門縣,133448,66791,66657,13560,104506,15382,7055,6505,52356,52150,7380,8002
2016-07,10507,10002000,宜蘭縣,457746,231940,225806,57351,333826,66569,29819,27532,171060,162766,31061,35508
2016-07,10507,10004000,新竹縣,545204,278954,266250,91637,390461,63106,47857,43780,200704,189757,30393,32713
2016-07,10507,10005000,苗栗縣,561138,289301,271837,77612,401993,81533,40749,36863,209778,192215,38774,42759
2016-07,10507,10007000,彰化縣,1288970,657814,631156,177240,932565,179165,92859,84381,482714,449851,82241,96924
2016-07,10507,10008000,南投縣,506966,259961,247005,59485,368706,78775,30908,28577,192276,176430,36777,41998
2016-07,10507,10009000,雲林縣,696691,362117,334574,85956,493802,116933,44928,41028,264090,229712,53099,63834
2016-07,10507,10010000,嘉義縣,517224,269149,248075,54046,372180,90998,28281,25765,199505,172675,41363,49635
2016-07,10507,10013000,屏東縣,838166,429077,409089,95384,618125,124657,49742,45642,320499,297626,58836,65821
2016-07,10507,10014000,臺東縣,221408,114553,106855,27667,161097,32644,14443,13224,85030,76067,15080,17564
2016-07,10507,10015000,花蓮縣,331323,168775,162548,41617,241987,47719,21790,19827,124736,117251,22249,25470
2016-07,10507,10016000,澎湖縣,102357,52716,49641,11507,75569,15281,5998,5509,39647,35922,7071,8210
2016-07,10507,10017000,基隆市,371901,186612,185289,40928,280403,50570,21355,19573,142144,138259,23113,27457
2016-07,10507,10018000,新竹市,435488,215390,220098,76345,312207,46936,39827,36518,154454,157753,21109,25827
2016-07,10507,10020000,嘉義市,270125,131648,138477,39166,195582,35377,20474,18692,95499,100083,15675,19702
2016-07,10507,63000000,臺北市,2701645,1292896,1408749,375838,1915465,410342,195124,180714,912432,1003033,185340,225002
2016-07,10507,64000000,高雄市,2778285,1379513,1398772,345639,2069872,362774,179553,166086,1031494,1038378,168466,194308
2016-07,10507,65000000,新北市,3973655,1950996,2022659,511000,3014160,448495,266041,244959,1477785,1536375,207170,241325
2016-07,10507,66000000,臺中市,2756256,1361675,1394581,409465,2054158,292633,212660,196805,1013372,1040786,135643,156990
2016-07,10507,67000000,臺南市,1885629,943396,942233,238060,1393955,253614,123897,114163,703305,690650,116194,137420
2016-07,10507,68000000,桃園市,2128594,1063029,1065565,328119,1588548,211927,171165,156954,791648,796900,100216,111711
2016-08,10508,00000000,全國,23516841,11713364,11803477,3154727,17322707,3039407,1643115,1511612,8666924,8655783,1403325,1636082
2016-08,10508,09007000,連江縣,12550,7175,5375,1583,9701,1266,846,737,5657,4044,672,594
2016-08,10508,09020000,金門縣,133656,66875,66781,13554,104691,15411,7051,6503,52435,52256,7389,8022
2016-08,10508,10002000,宜蘭縣,457788,231938,225850,57279,333732,66777,29814,27465,170965,162767,31159,35618
2016-08,10508,10004000,新竹縣,545674,279174,266500,91651,390798,63225,47880,43771,200864,189934,30430,32795
2016-08,10508,10005000,苗栗縣,560745,289131,271614,77294,401753,81698,40606,36688,209705,192048,38820,42878
2016-08,10508,10007000,彰化縣,1288345,657540,630805,176669,931914,179762,92591,84078,482421,449493,82528,97234
2016-08,10508,10008000,南投縣,506530,259733,246797,59215,368318,78997,30768,28447,192096,176222,36869,42128
2016-08,10508,10009000,雲林縣,696315,361882,334433,85680,493356,117279,44789,40891,263850,229506,53243,64036
2016-08,10508,10010000,嘉義縣,516915,268961,247954,53781,371957,91177,28140,25641,199361,172596,41460,49717
2016-08,10508,10013000,屏東縣,837700,428804,408896,95035,617626,125039,49605,45430,320186,297440,59013,66026
2016-08,10508,10014000,臺東縣,221324,114520,106804,27624,161003,32697,14424,13200,84996,76007,15100,17597
2016-08,10508,10015000,花蓮縣,331332,168733,162599,41562,241866,47904,21740,19822,124662,117204,22331,25573
