西元年,月,民國年,產業,生產指數
2016,7,民國105年7月,化學材料及肥料業,123.89
2016,7,民國105年7月,印刷及資料儲存媒體複製業,89.21
2016,7,民國105年7月,基本金屬業,82.83
2016,7,民國105年7月,塑膠製品業,92.86
2016,7,民國105年7月,家具業,101.02
2016,7,民國105年7月,成衣及服飾品業,97.15
2016,7,民國105年7月,木竹製品業,110.97
2016,7,民國105年7月,機械設備業,84.65
2016,7,民國105年7月,橡膠製品業,69.92
2016,7,民國105年7月,民生工業,85.51
2016,7,民國105年7月,汽車及其零件業,72.81
2016,7,民國105年7月,產業用機械設備維修及安裝業,68.52
2016,7,民國105年7月,皮革、毛皮及其製品業,97.13
2016,7,民國105年7月,石油及煤製品業,108.05
2016,7,民國105年7月,紙漿、紙及紙製品業,123.41
2016,7,民國105年7月,紡織業,72.96
2016,7,民國105年7月,菸草業,122.15
2016,7,民國105年7月,藥品及醫用化學製品業,83.84
2016,7,民國105年7月,資訊電子工業,80.88
2016,7,民國105年7月,金屬機電工業,72.55
2016,7,民國105年7月,金屬製品業,92.83
2016,7,民國105年7月,電力設備及配備業,80.57
2016,7,民國105年7月,電子零組件業,59.85
2016,7,民國105年7月,電腦、電子產品及光學製品業,59.77
2016,7,民國105年7月,非金屬礦物製品業,68.27
2016,7,民國105年7月,食品及飼品業,87.34
2016,7,民國105年7月,飲料業,84.87
2016,8,民國105年8月,其他化學製品業,90.56
2016,8,民國105年8月,其他製造業,71.51
2016,8,民國105年8月,其他運輸工具及其零件業,81.19
2016,8,民國105年8月,化學工業,62.43
2016,8,民國105年8月,化學材料及肥料業,122.11
2016,8,民國105年8月,印刷及資料儲存媒體複製業,93.22
2016,8,民國105年8月,基本金屬業,84.06
2016,8,民國105年8月,塑膠製品業,94.8
2016,8,民國105年8月,家具業,104.0
2016,8,民國105年8月,成衣及服飾品業,106.69
2016,8,民國105年8月,木竹製品業,127.51
2016,8,民國105年8月,機械設備業,86.46
2016,8,民國105年8月,橡膠製品業,78.1
2016,8,民國105年8月,民生工業,90.63
2016,8,民國105年8月,汽車及其零件業,75.14
2016,8,民國105年8月,產業用機械設備維修及安裝業,73.71
2016,8,民國105年8月,皮革、毛皮及其製品業,96.72
2016,8,民國105年8月,石油及煤製品業,113.49
2016,8,民國105年8月,紙漿、紙及紙製品業,119.6
2016,8,民國105年8月,紡織業,109.76
2016,8,民國105年8月,菸草業,132.71
2016,8,民國105年8月,藥品及醫用化學製品業,91.27
2016,8,民國105年8月,資訊電子工業,81.68
2016,8,民國105年8月,金屬機電工業,75.35
2016,8,民國105年8月,金屬製品業,94.23
2016,8,民國105年8月,電力設備及配備業,86.21
2016,8,民國105年8月,電子零組件業,62.96
2016,8,民國105年8月,電腦、電子產品及光學製品業,62.99
2016,8,民國105年8月,非金屬礦物製品業,77.62
2016,8,民國105年8月,食品及飼品業,96.02
2016,8,民國105年8月,飲料業,86.74
2016,9,民國105年9月,其他化學製品業,83.5
2016,9,民國105年9月,其他製造業,68.46
2016,9,民國105年9月,其他運輸工具及其零件業,77.58
2016,9,民國105年9月,化學工業,59.9
2016,9,民國105年9月,化學材料及肥料業,112.35
2016,9,民國105年9月,印刷及資料儲存媒體複製業,84.41
2016,9,民國105年9月,基本金屬業,75.13
2016,9,民國105年9月,塑膠製品業,84.95
2016,9,民國105年9月,家具業,96.54
2016,9,民國105年9月,成衣及服飾品業,99.57
2016,9,民國105年9月,木竹製品業,106.0
2016,9,民國105年9月,機械設備業,75.95
2016,9,民國105年9月,橡膠製品業,66.23
2016,9,民國105年9月,民生工業,82.63
2016,9,民國105年9月,汽車及其零件業,68.68
2016,9,民國105年9月,產業用機械設備維修及安裝業,63.11
2016,9,民國105年9月,皮革、毛皮及其製品業,88.49
2016,9,民國105年9月,石油及煤製品業,101.07
2016,9,民國105年9月,紙漿、紙及紙製品業,118.08
2016,9,民國105年9月,紡織業,84.63
2016,9,民國105年9月,菸草業,98.72
2016,9,民國105年9月,藥品及醫用化學製品業,84.46
2016,9,民國105年9月,資訊電子工業,75.25
2016,9,民國105年9月,金屬機電工業,74.89
2016,9,民國105年9月,金屬製品業,83.89
2016,9,民國105年9月,電力設備及配備業,74.8
2016,9,民國105年9月,電子零組件業,68.64
2016,9,民國105年9月,電腦、電子產品及光學製品業,69.58
2016,9,民國105年9月,非金屬礦物製品業,68.77
2016,9,民國105年9月,食品及飼品業,84.66
2016,9,民國105年9月,飲料業,77.48
2016,10,民國105年10月,其他化學製品業,93.06
2016,10,民國105年10月,其他製造業,67.86
2016,10,民國105年10月,其他運輸工具及其零件業,94.06
2016,10,民國105年10月,化學工業,60.05
2016,10,民國105年10月,化學材料及肥料業,107.1
2016,10,民國105年10月,印刷及資料儲存媒體複製業,90.62
2016,10,民國105年10月,基本金屬業,81.59
2016,10,民國105年10月,塑膠製品業,90.25
2016,10,民國105年10月,家具業,96.04
2016,10,民國105年10月,成衣及服飾品業,100.07
2016,10,民國105年10月,木竹製品業,121.91
2016,10,民國105年10月,機械設備業,82.0
2016,10,民國105年10月,橡膠製品業,66.05
2016,10,民國105年10月,民生工業,82.99
2016,10,民國105年10月,汽車及其零件業,69.83
2016,10,民國105年10月,產業用機械設備維修及安裝業,64.94
2016,10,民國105年10月,皮革、毛皮及其製品業,92.74
2016,10,民國105年10月,石油及煤製品業,115.05
2016,10,民國105年10月,紙漿、紙及紙製品業,124.74
2016,10,民國105年10月,紡織業,111.48
2016,10,民國105年10月,菸草業,98.42
2016,10,民國105年10月,藥品及醫用化學製品業,89.66
2016,10,民國105年10月,資訊電子工業,73.02
2016,10,民國105年10月,金屬機電工業,74.96
2016,10,民國105年10月,金屬製品業,95.4
2016,10,民國105年10月,電力設備及配備業,80.5
2016,10,民國105年10月,電子零組件業,64.93
2016,10,民國105年10月,電腦、電子產品及光學製品業,65.43
2016,10,民國105年10月,非金屬礦物製品業,76.25
2016,10,民國105年10月,食品及飼品業,90.03
2016,10,民國105年10月,飲料業,82.85
2016,11,民國105年11月,其他化學製品業,91.35
2016,11,民國105年11月,其他製造業,72.63
2016,11,民國105年11月,其他運輸工具及其零件業,97.22
2016,11,民國105年11月,化學工業,65.87
2016,11,民國105年11月,化學材料及肥料業,109.03
2016,11,民國105年11月,印刷及資料儲存媒體複製業,95.75
2016,11,民國105年11月,基本金屬業,85.62
2016,11,民國105年11月,塑膠製品業,94.52
2016,11,民國105年11月,家具業,98.22
2016,11,民國105年11月,成衣及服飾品業,103.53
2016,11,民國105年11月,木竹製品業,127.98
2016,11,民國105年11月,機械設備業,87.83
2016,11,民國105年11月,橡膠製品業,77.36
2016,11,民國105年11月,民生工業,87.22
2016,11,民國105年11月,汽車及其零件業,74.5
2016,11,民國105年11月,產業用機械設備維修及安裝業,70.08
2016,11,民國105年11月,皮革、毛皮及其製品業,94.73
2016,11,民國105年11月,石油及煤製品業,126.46
2016,11,民國105年11月,紙漿、紙及紙製品業,126.74
2016,11,民國105年11月,紡織業,123.3
2016,11,民國105年11月,菸草業,108.92
2016,11,民國105年11月,藥品及醫用化學製品業,93.54
2016,11,民國105年11月,資訊電子工業,82.33
2016,11,民國105年11月,金屬機電工業,77.92
2016,11,民國105年11月,金屬製品業,94.84
2016,11,民國105年11月,電力設備及配備業,86.27
2016,11,民國105年11月,電子零組件業,67.45
2016,11,民國105年11月,電腦、電子產品及光學製品業,67.59
2016,11,民國105年11月,非金屬礦物製品業,76.33
2016,11,民國105年11月,食品及飼品業,94.85
2016,11,民國105年11月,飲料業,86.41
2016,12,民國105年12月,其他化學製品業,92.87
2016,12,民國105年12月,其他製造業,82.74
2016,12,民國105年12月,其他運輸工具及其零件業,98.81
2016,12,民國105年12月,化學工業,61.61
2016,12,民國105年12月,化學材料及肥料業,120.11
2016,12,民國105年12月,印刷及資料儲存媒體複製業,94.92
2016,12,民國105年12月,基本金屬業,88.52
2016,12,民國105年12月,塑膠製品業,97.74
2016,12,民國105年12月,家具業,102.06
2016,12,民國105年12月,成衣及服飾品業,103.86
2016,12,民國105年12月,木竹製品業,143.03
2016,12,民國105年12月,機械設備業,88.92
2016,12,民國105年12月,橡膠製品業,80.18
2016,12,民國105年12月,民生工業,85.71
2016,12,民國105年12月,汽車及其零件業,83.41
2016,12,民國105年12月,產業用機械設備維修及安裝業,71.62
2016,12,民國105年12月,皮革、毛皮及其製品業,97.7
2016,12,民國105年12月,石油及煤製品業,127.59
2016,12,民國105年12月,紙漿、紙及紙製品業,123.38
2016,12,民國105年12月,紡織業,129.52
2016,12,民國105年12月,菸草業,97.61
2016,12,民國105年12月,藥品及醫用化學製品業,94.68
2016,12,民國105年12月,資訊電子工業,85.77
2016,12,民國105年12月,金屬機電工業,77.82
2016,12,民國105年12月,金屬製品業,96.96
2016,12,民國105年12月,電力設備及配備業,85.6
2016,12,民國105年12月,電子零組件業,65.09
2016,12,民國105年12月,電腦、電子產品及光學製品業,65.44
2016,12,民國105年12月,非金屬礦物製品業,80.84
2016,12,民國105年12月,食品及飼品業,98.63
2016,12,民國105年12月,飲料業,93.44
2017,1,民國106年1月,其他化學製品業,93.14
2017,1,民國106年1月,其他製造業,70.94
2017,1,民國106年1月,其他運輸工具及其零件業,85.63
2017,1,民國106年1月,化學工業,53.7
2017,1,民國106年1月,化學材料及肥料業,117.09
2017,1,民國106年1月,印刷及資料儲存媒體複製業,86.57
2017,1,民國106年1月,基本金屬業,78.24
2017,1,民國106年1月,塑膠製品業,80.7
2017,1,民國106年1月,家具業,91.54
2017,1,民國106年1月,成衣及服飾品業,91.06
2017,1,民國106年1月,木竹製品業,104.2
2017,1,民國106年1月,機械設備業,77.09
2017,1,民國106年1月,橡膠製品業,74.0
2017,1,民國106年1月,民生工業,78.12
2017,1,民國106年1月,汽車及其零件業,68.32
2017,1,民國106年1月,產業用機械設備維修及安裝業,62.24
2017,1,民國106年1月,皮革、毛皮及其製品業,92.8
2017,1,民國106年1月,石油及煤製品業,102.75
2017,1,民國106年1月,紙漿、紙及紙製品業,141.38
2017,1,民國106年1月,紡織業,104.09
2017,1,民國106年1月,菸草業,100.4
2017,1,民國106年1月,藥品及醫用化學製品業,82.95
2017,1,民國106年1月,資訊電子工業,80.25
2017,1,民國106年1月,金屬機電工業,71.69
2017,1,民國106年1月,金屬製品業,90.51
2017,1,民國106年1月,電力設備及配備業,78.04
2017,1,民國106年1月,電子零組件業,60.77
2017,1,民國106年1月,電腦、電子產品及光學製品業,61.55
2017,1,民國106年1月,非金屬礦物製品業,73.37
2017,1,民國106年1月,食品及飼品業,87.96
2017,1,民國106年1月,飲料業,88.05
2017,2,民國106年2月,其他化學製品業,82.66
2017,2,民國106年2月,其他製造業,62.2
2017,2,民國106年2月,其他運輸工具及其零件業,79.29
2017,2,民國106年2月,化學工業,51.62
2017,2,民國106年2月,化學材料及肥料業,107.71
2017,2,民國106年2月,印刷及資料儲存媒體複製業,83.45
2017,2,民國106年2月,基本金屬業,73.17
2017,2,民國106年2月,塑膠製品業,84.59
2017,2,民國106年2月,家具業,79.9
2017,2,民國106年2月,成衣及服飾品業,88.92
2017,2,民國106年2月,木竹製品業,84.09
2017,2,民國106年2月,機械設備業,71.13
2017,2,民國106年2月,橡膠製品業,59.05
2017,2,民國106年2月,民生工業,72.85
2017,2,民國106年2月,汽車及其零件業,62.85
2017,2,民國106年2月,產業用機械設備維修及安裝業,54.96
2017,2,民國106年2月,皮革、毛皮及其製品業,84.62
2017,2,民國106年2月,石油及煤製品業,91.75
2017,2,民國106年2月,紙漿、紙及紙製品業,135.56
2017,2,民國106年2月,紡織業,111.63
2017,2,民國106年2月,菸草業,89.0
2017,2,民國106年2月,藥品及醫用化學製品業,77.83
2017,2,民國106年2月,資訊電子工業,77.39
2017,2,民國106年2月,金屬機電工業,66.79
2017,2,民國106年2月,金屬製品業,89.75
2017,2,民國106年2月,電力設備及配備業,71.64
