西元年,月,民國年,科學園區,產業,核准廠商數,已入區廠商數
2016,11,民國105年11月,中部科學園區,積體電路,8,7
2016,11,民國105年11月,中部科學園區,精密機械,70,44
2016,11,民國105年11月,中部科學園區,總計,185,136
2016,11,民國105年11月,中部科學園區,通訊,1,1
2016,11,民國105年11月,中部科學園區,電腦及周邊,15,12
2016,11,民國105年11月,南部科學園區,光電,57,52
2016,11,民國105年11月,南部科學園區,其他,7,5
2016,11,民國105年11月,南部科學園區,生物技術,66,58
2016,11,民國105年11月,南部科學園區,積體電路,17,13
2016,11,民國105年11月,南部科學園區,精密機械,52,48
2016,11,民國105年11月,南部科學園區,總計,211,187
2016,11,民國105年11月,南部科學園區,通訊,10,9
2016,11,民國105年11月,南部科學園區,電腦及周邊,2,2
2016,11,民國105年11月,彙總資料,光電,188,172
2016,11,民國105年11月,彙總資料,其他,32,23
2016,11,民國105年11月,彙總資料,生物技術,191,157
2016,11,民國105年11月,彙總資料,積體電路,215,206
2016,11,民國105年11月,彙總資料,精密機械,164,132
2016,11,民國105年11月,彙總資料,總計,922,810
2016,11,民國105年11月,彙總資料,通訊,57,55
2016,11,民國105年11月,彙總資料,電腦及周邊,75,65
2016,11,民國105年11月,新竹科學園區,光電,94,88
2016,11,民國105年11月,新竹科學園區,其他,9,5
2016,11,民國105年11月,新竹科學園區,生物技術,87,72
2016,11,民國105年11月,新竹科學園區,積體電路,190,186
2016,11,民國105年11月,新竹科學園區,精密機械,42,40
2016,11,民國105年11月,新竹科學園區,總計,526,487
2016,11,民國105年11月,新竹科學園區,通訊,46,45
2016,11,民國105年11月,新竹科學園區,電腦及周邊,58,51
2016,12,民國105年12月,中部科學園區,光電,38,32
2016,12,民國105年12月,中部科學園區,其他,16,13
2016,12,民國105年12月,中部科學園區,生物技術,40,27
2016,12,民國105年12月,中部科學園區,積體電路,8,7
2016,12,民國105年12月,中部科學園區,精密機械,70,44
2016,12,民國105年12月,中部科學園區,總計,189,136
2016,12,民國105年12月,中部科學園區,通訊,1,1
2016,12,民國105年12月,中部科學園區,電腦及周邊,16,12
2016,12,民國105年12月,南部科學園區,光電,54,52
2016,12,民國105年12月,南部科學園區,其他,7,5
2016,12,民國105年12月,南部科學園區,生物技術,66,58
2016,12,民國105年12月,南部科學園區,積體電路,18,14
2016,12,民國105年12月,南部科學園區,精密機械,52,48
2016,12,民國105年12月,南部科學園區,總計,210,188
2016,12,民國105年12月,南部科學園區,通訊,11,9
2016,12,民國105年12月,南部科學園區,電腦及周邊,2,2
2016,12,民國105年12月,彙總資料,光電,187,172
2016,12,民國105年12月,彙總資料,其他,32,23
2016,12,民國105年12月,彙總資料,生物技術,196,158
2016,12,民國105年12月,彙總資料,積體電路,215,206
2016,12,民國105年12月,彙總資料,精密機械,165,132
