YearMonth,District,PowerDeviation,Beta_TempDiff,R2
202302,安定,-0.26778683210336407,0.041799162851783624,0.00535741484871366
202303,安定,0.565174674763426,0.041799162851783624,0.00535741484871366
202304,安定,0.10617551191164176,0.041799162851783624,0.00535741484871366
202305,安定,0.551054172474495,0.041799162851783624,0.00535741484871366
202306,安定,-0.11546591124032518,0.041799162851783624,0.00535741484871366
202307,安定,0.5235127493225276,0.041799162851783624,0.00535741484871366
202308,安定,0.025971744744668086,0.041799162851783624,0.00535741484871366
202309,安定,-0.2818278366812238,0.041799162851783624,0.00535741484871366
202310,安定,0.34171107502609516,0.041799162851783624,0.00535741484871366
202311,安定,-0.47487009698140836,0.041799162851783624,0.00535741484871366
202312,安定,-0.017850431840694153,0.041799162851783624,0.00535741484871366
202401,安定,-0.08100942726283455,0.041799162851783624,0.00535741484871366
202402,安定,-0.5181056600958613,0.041799162851783624,0.00535741484871366
202403,安定,0.44155375390038776,0.041799162851783624,0.00535741484871366
202404,安定,-0.23944373465496327,0.041799162851783624,0.00535741484871366
202405,安定,0.4873529167521708,0.041799162851783624,0.00535741484871366
202406,安定,-0.14858599495514765,0.041799162851783624,0.00535741484871366
202407,安定,0.2673127493225279,0.041799162851783624,0.00535741484871366
202408,安定,0.004811912174311744,0.041799162851783624,0.00535741484871366
202409,安定,-6.208107752966402,0.041799162851783624,0.00535741484871366
202410,安定,12.203330740166809,0.041799162851783624,0.00535741484871366
202411,安定,-6.970450431840695,0.041799162851783624,0.00535741484871366
202412,安定,0.16354831243698156,0.041799162851783624,0.00535741484871366
202501,安定,-0.2557692598331916,0.041799162851783624,0.00535741484871366
202502,安定,-0.37348725067747257,0.041799162851783624,0.00535741484871366
202503,安定,0.8290357630561069,0.041799162851783624,0.00535741484871366
202504,安定,-0.23412448808835815,0.041799162851783624,0.00535741484871366
202505,安定,0.5321951770523552,0.041799162851783624,0.00535741484871366
202506,安定,-0.06544666467372037,0.041799162851783624,0.00535741484871366
202507,安定,0.1806119121743108,0.041799162851783624,0.00535741484871366
202508,安定,0.02981274932252792,0.041799162851783624,0.00535741484871366
202509,安定,-0.3851073343922937,0.041799162851783624,0.00535741484871366
202510,安定,0.2146315773150247,0.041799162851783624,0.00535741484871366
202511,安定,0.17102822872215936,0.041799162851783624,0.00535741484871366
202512,安定,-1.568950013266586,0.041799162851783624,0.00535741484871366
201602,寶山,-0.14808792846479332,0.027530428240428496,0.07703852437689285
201603,寶山,0.17406165834179194,0.027530428240428496,0.07703852437689285
201604,寶山,-0.13842526874013597,0.027530428240428496,0.07703852437689285
201605,寶山,0.13347818727732108,0.027530428240428496,0.07703852437689285
201606,寶山,-0.08775051295437929,0.027530428240428496,0.07703852437689285
201607,寶山,0.10039817223030652,0.027530428240428496,0.07703852437689285
201608,寶山,0.06380598588712054,0.027530428240428496,0.07703852437689285
201609,寶山,-0.04457575716862213,0.027530428240428496,0.07703852437689285
201610,寶山,0.13591207153520593,0.027530428240428496,0.07703852437689285
201611,寶山,-0.12638447244733672,0.027530428240428496,0.07703852437689285
201612,寶山,0.09061379954393455,0.027530428240428496,0.07703852437689285
201701,寶山,-0.05981662869649346,0.027530428240428496,0.07703852437689285
201702,寶山,-0.25402879999266514,0.027530428240428496,0.07703852437689285
201703,寶山,0.27308600093413476,0.027530428240428496,0.07703852437689285
201704,寶山,-0.1375583266111931,0.027530428240428496,0.07703852437689285
201705,寶山,0.10137210162923521,0.027530428240428496,0.07703852437689285
201706,寶山,-0.04249138448225054,0.027530428240428496,0.07703852437689285
201707,寶山,0.06233295811009209,0.027530428240428496,0.07703852437689285
201708,寶山,-0.01979574212160789,0.027530428240428496,0.07703852437689285
201709,寶山,-0.04308184281670811,0.027530428240428496,0.07703852437689285
201710,寶山,0.040425970840106115,0.027530428240428496,0.07703852437689285
201711,寶山,-0.08525577221563667,0.027530428240428496,0.07703852437689285
201712,寶山,0.06701552755266327,0.027530428240428496,0.07703852437689285
201801,寶山,0.015065114359249204,0.027530428240428496,0.07703852437689285
201802,寶山,-0.2560696715205365,0.027530428240428496,0.07703852437689285
201803,寶山,0.21553558774072074,0.027530428240428496,0.07703852437689285
201804,寶山,-0.11773398401885049,0.027530428240428496,0.07703852437689285
201805,寶山,0.11029471621284959,0.027530428240428496,0.07703852437689285
201806,寶山,-0.10925487059373636,0.027530428240428496,0.07703852437689285
201807,寶山,0.12138600093413517,0.027530428240428496,0.07703852437689285
201808,寶山,0.036705985887120034,0.027530428240428496,0.07703852437689285
201809,寶山,-0.060881842816707915,0.027530428240428496,0.07703852437689285
201810,寶山,0.10940335625649221,0.027530428240428496,0.07703852437689285
201811,寶山,-0.08288184281670821,0.027530428240428496,0.07703852437689285
201812,寶山,0.06902597084010612,0.027530428240428496,0.07703852437689285
201901,寶山,0.0043712000073349785,0.027530428240428496,0.07703852437689285
201902,寶山,-0.2912305280013933,0.027530428240428496,0.07703852437689285
201903,寶山,0.2924390437581775,0.027530428240428496,0.07703852437689285
201904,寶山,-0.14555224096310743,0.027530428240428496,0.07703852437689285
201905,寶山,0.10614512940626343,0.027530428240428496,0.07703852437689285
201906,寶山,-0.0935809411948074,0.027530428240428496,0.07703852437689285
201907,寶山,0.10692078681392084,0.027530428240428496,0.07703852437689285
201908,寶山,0.007199900239034954,0.027530428240428496,0.07703852437689285
201909,寶山,-0.11195141457627972,0.027530428240428496,0.07703852437689285
201910,寶山,0.06708945695159171,0.027530428240428496,0.07703852437689285
201911,寶山,-0.10036794351180793,0.027530428240428496,0.07703852437689285
201912,寶山,0.15708509931223458,0.027530428240428496,0.07703852437689285
202001,寶山,0.02737728565542066,0.027530428240428496,0.07703852437689285
202002,寶山,-0.17244878494565086,0.027530428240428496,0.07703852437689285
202003,寶山,0.17735557269370658,0.027530428240428496,0.07703852437689285
202004,寶山,-0.09333661364947962,0.027530428240428496,0.07703852437689285
202005,寶山,0.10959298820412117,0.027530428240428496,0.07703852437689285
202006,寶山,-0.10791572707459324,0.027530428240428496,0.07703852437689285
202007,寶山,0.11024512940626363,0.027530428240428496,0.07703852437689285
202008,寶山,0.045865114359249205,0.027530428240428496,0.07703852437689285
202009,寶山,-0.0863575002243655,0.027530428240428496,0.07703852437689285
202010,寶山,0.08140771389584905,0.027530428240428496,0.07703852437689285
202011,寶山,-2.4787227143445794,0.027530428240428496,0.07703852437689285
202012,寶山,0.15133987014500586,0.027530428240428496,0.07703852437689285
202101,寶山,0.20596075671989178,0.027530428240428496,0.07703852437689285
202102,寶山,-0.388250512954379,0.027530428240428496,0.07703852437689285
202103,寶山,0.16663904375817779,0.027530428240428496,0.07703852437689285
202104,寶山,-0.08520964142650767,0.027530428240428496,0.07703852437689285
202105,寶山,0.07616428797242109,0.027530428240428496,0.07703852437689285
202106,寶山,-0.039707913417779246,0.027530428240428496,0.07703852437689285
202107,寶山,0.016045129406263542,0.027530428240428496,0.07703852437689285
202108,寶山,0.026765114359249102,0.027530428240428496,0.07703852437689285
202109,寶山,0.0074573007024350026,0.027530428240428496,0.07703852437689285
202110,寶山,0.1520790136641489,0.027530428240428496,0.07703852437689285
202111,寶山,0.21532769884883451,0.027530428240428496,0.07703852437689285
202112,寶山,0.1322259708401062,0.027530428240428496,0.07703852437689285
202201,寶山,0.06655902871116333,0.027530428240428496,0.07703852437689285
202202,寶山,-0.06293488564075089,0.027530428240428496,0.07703852437689285
202203,寶山,0.055647759036892286,0.027530428240428496,0.07703852437689285
202204,寶山,-0.04548529883416505,0.027530428240428496,0.07703852437689285
202205,寶山,0.04683904375817796,0.027530428240428496,0.07703852437689285
202206,寶山,-0.07960528378715041,0.027530428240428496,0.07703852437689285
202207,寶山,0.02610861551774927,0.027530428240428496,0.07703852437689285
202208,寶山,0.03274077176690639,0.027530428240428496,0.07703852437689285
202209,寶山,-0.05889837175223661,0.027530428240428496,0.07703852437689285
202210,寶山,0.007713799543934655,0.027530428240428496,0.07703852437689285
202211,寶山,-0.13774097128883647,0.027530428240428496,0.07703852437689285
202212,寶山,0.2755946409777773,0.027530428240428496,0.07703852437689285
202301,寶山,0.1328816432947776,0.027530428240428496,0.07703852437689285
202302,寶山,-0.693571399529265,0.027530428240428496,0.07703852437689285
202303,寶山,0.25783731574944935,0.027530428240428496,0.07703852437689285
202304,寶山,0.32044340139753524,0.027530428240428496,0.07703852437689285
202305,寶山,-0.08952181272267912,0.027530428240428496,0.07703852437689285
202306,寶山,-0.06632181272267922,0.027530428240428496,0.07703852437689285
202307,寶山,0.10628600093413498,0.027530428240428496,0.07703852437689285
202308,寶山,0.013346857414992063,0.027530428240428496,0.07703852437689285
202309,寶山,-0.06054705693692216,0.027530428240428496,0.07703852437689285
202310,寶山,0.13463205648819188,0.027530428240428496,0.07703852437689285
202311,寶山,0.013532056488191876,0.027530428240428496,0.07703852437689285
202312,寶山,0.13288509931223466,0.027530428240428496,0.07703852437689285
202401,寶山,-0.12310445740032229,0.027530428240428496,0.07703852437689285
202402,寶山,-0.04500182776969357,0.027530428240428496,0.07703852437689285
202403,寶山,0.06566774398987793,0.027530428240428496,0.07703852437689285
202404,寶山,-0.07528875485162201,0.027530428240428496,0.07703852437689285
202405,寶山,0.2069103435264778,0.027530428240428496,0.07703852437689285
202406,寶山,0.04677818727732079,0.027530428240428496,0.07703852437689285
202407,寶山,0.12232687246200649,0.027530428240428496,0.07703852437689285
202408,寶山,0.16789381459094907,0.027530428240428496,0.07703852437689285
202409,寶山,-0.022706185409050724,0.027530428240428496,0.07703852437689285
202410,寶山,0.13433205648819177,0.027530428240428496,0.07703852437689285
202411,寶山,-0.11315577221563675,0.027530428240428496,0.07703852437689285
202412,寶山,0.13527465602479163,0.027530428240428496,0.07703852437689285
202501,寶山,0.02377728565542066,0.027530428240428496,0.07703852437689285
202502,寶山,-0.12192444235330786,0.027530428240428496,0.07703852437689285
202503,寶山,0.25070861551774914,0.027530428240428496,0.07703852437689285
202504,寶山,-0.06335224096310761,0.027530428240428496,0.07703852437689285
202505,寶山,0.164725144453278,0.027530428240428496,0.07703852437689285
202506,寶山,0.04373731574944974,0.027530428240428496,0.07703852437689285
202507,寶山,0.20087555764669213,0.027530428240428496,0.07703852437689285
202508,寶山,0.07799817223030633,0.027530428240428496,0.07703852437689285
202509,寶山,-0.03425314258500793,0.027530428240428496,0.07703852437689285
202510,寶山,0.16139554259967742,0.027530428240428496,0.07703852437689285
202511,寶山,0.1426337844969203,0.027530428240428496,0.07703852437689285
202512,寶山,-0.028980114807979476,0.027530428240428496,0.07703852437689285
201602,新市,-0.8139249228796476,0.04207653134231009,0.13527235436546126
201603,新市,0.7623067081672702,0.04207653134231009,0.13527235436546126
