西元年,月,民國年月,園區別,子園區,負載_萬KW
2017,6,10606,新竹科學園區,宜蘭園區,0.01
2017,6,10606,新竹科學園區,新竹園區,144.51
2017,6,10606,新竹科學園區,新竹生醫園區,0.48
2017,6,10606,新竹科學園區,竹南園區,19.99
2017,6,10606,新竹科學園區,銅鑼園區,1.8
2017,6,10606,新竹科學園區,龍潭園區,15.36
2017,7,10607,中部科學園區,中興園區,0.06
2017,7,10607,中部科學園區,二林園區,0.06
2017,7,10607,中部科學園區,台中園區,71.98
2017,7,10607,中部科學園區,后里園區,18.8
2017,7,10607,中部科學園區,虎尾園區,1.89
2017,7,10607,南部科學園區,臺南園區,123.12
2017,7,10607,南部科學園區,高雄園區,18.14
2017,7,10607,新竹科學園區,宜蘭園區,0.01
2017,7,10607,新竹科學園區,新竹園區,141.95
2017,7,10607,新竹科學園區,新竹生醫園區,0.51
2017,7,10607,新竹科學園區,竹南園區,20.49
2017,7,10607,新竹科學園區,銅鑼園區,1.85
2017,7,10607,新竹科學園區,龍潭園區,15.33
2017,8,10608,中部科學園區,中興園區,0.06
2017,8,10608,中部科學園區,二林園區,0.06
2017,8,10608,中部科學園區,台中園區,72.59
2017,8,10608,中部科學園區,后里園區,18.92
2017,8,10608,中部科學園區,虎尾園區,1.89
2017,8,10608,南部科學園區,臺南園區,123.25
2017,8,10608,南部科學園區,高雄園區,18.2
2017,8,10608,新竹科學園區,宜蘭園區,0.01
2017,8,10608,新竹科學園區,新竹園區,138.57
2017,8,10608,新竹科學園區,新竹生醫園區,0.5
2017,8,10608,新竹科學園區,竹南園區,20.45
2017,8,10608,新竹科學園區,銅鑼園區,1.99
2017,8,10608,新竹科學園區,龍潭園區,15.84
2017,9,10609,中部科學園區,中興園區,0.05
2017,9,10609,中部科學園區,二林園區,0.07
2017,9,10609,中部科學園區,台中園區,72.93
2017,9,10609,中部科學園區,后里園區,19.16
2017,9,10609,中部科學園區,虎尾園區,1.88
2017,9,10609,南部科學園區,臺南園區,123.07
2017,9,10609,南部科學園區,高雄園區,19.12
2017,9,10609,新竹科學園區,宜蘭園區,0.01
2017,9,10609,新竹科學園區,新竹園區,135.5
2017,9,10609,新竹科學園區,新竹生醫園區,0.49
2017,9,10609,新竹科學園區,竹南園區,20.66
2017,9,10609,新竹科學園區,銅鑼園區,1.96
2017,9,10609,新竹科學園區,龍潭園區,15.88
2017,10,10610,中部科學園區,中興園區,0.05
2017,10,10610,中部科學園區,二林園區,0.07
2017,10,10610,中部科學園區,台中園區,71.97
2017,10,10610,中部科學園區,后里園區,19.34
2017,10,10610,中部科學園區,虎尾園區,1.86
2017,10,10610,南部科學園區,臺南園區,122.91
2017,10,10610,南部科學園區,高雄園區,18.41
2017,10,10610,新竹科學園區,宜蘭園區,0.01
2017,10,10610,新竹科學園區,新竹園區,134.24
2017,10,10610,新竹科學園區,新竹生醫園區,0.49
