西元年,行業代碼,行業名稱,生產總額_百萬元,中間消費_百萬元,GDP_百萬元,生產及進口稅淨額_百萬元,固定資本消耗_百萬元,受僱人員報酬_百萬元,營業盈餘_百萬元
2015,F,營建工程業,1497225.0,1076899.0,420326.0,5659.0,21039.0,306462.0,87166.0
2015,G,批發及零售業,3718005.0,1053260.0,2664745.0,56411.0,142867.0,1107064.0,1358403.0
2015,H,運輸及倉儲業,1229791.0,713198.0,516593.0,6680.0,106608.0,232786.0,170519.0
2015,I,住宿及餐飲業,886095.0,469523.0,416572.0,5392.0,30793.0,253367.0,127020.0
2015,ICT,ICT產業,8230242.0,5218014.0,3012228.0,19071.0,960324.0,937088.0,1095745.0
2015,J,出版影音及資通訊業,986487.0,460360.0,526127.0,11155.0,106275.0,228259.0,180438.0
2015,K,金融及保險業,1600527.0,501182.0,1099345.0,52820.0,98922.0,557861.0,389742.0
2015,L,不動產及住宅服務業,1765787.0,397831.0,1367956.0,54754.0,183931.0,69556.0,1059715.0
2015,M,專業、科學及技術服務業,637845.0,268290.0,369555.0,4103.0,56518.0,214564.0,94370.0
2015,N,支援服務業,400095.0,125723.0,274372.0,3505.0,35734.0,197648.0,37485.0
2015,O,公共行政及國防；強制性社會安全,1407409.0,367928.0,1039481.0,5387.0,333976.0,700118.0,0.0
2015,P,教育業,903185.0,163635.0,739550.0,-11099.0,58034.0,653401.0,39214.0
2015,Q,醫療保健及社會工作服務業,759300.0,278507.0,480793.0,-11328.0,46406.0,359412.0,86303.0
2015,R,藝術、娛樂及休閒服務業,223256.0,82797.0,140459.0,5211.0,11779.0,94116.0,29353.0
2015,S,其他服務業,643678.0,217456.0,426222.0,11335.0,10250.0,310658.0,93979.0
2015,加值型營業稅,加值型營業稅,290819.0,0.0,290819.0,290819.0,0.0,0.0,0.0
2015,合計,合計,37590271.0,21051988.0,16538283.0,418330.0,2601636.0,7516962.0,6001355.0
2015,總計(生產面),總計(生產面),38074608.0,21051988.0,17022620.0,902667.0,2601636.0,7516962.0,6001355.0
2015,進口稅,進口稅,193518.0,0.0,193518.0,193518.0,0.0,0.0,0.0
2016,A,農、林、漁、牧業,632735.0,305233.0,327502.0,-20416.0,20985.0,63188.0,263745.0
2016,B,礦業及土石採取業,18258.0,7440.0,10818.0,352.0,3391.0,3721.0,3354.0
2016,C,製造業,18810572.0,13154866.0,5655706.0,246120.0,1262019.0,2167236.0,1980331.0
2016,CA,食品及飼品製造業,721724.0,584714.0,137010.0,4015.0,11749.0,71047.0,50199.0
2016,CB,飲料及菸草製造業,142188.0,49890.0,92298.0,60050.0,4174.0,18790.0,9284.0
2016,CC,紡織業,393418.0,284763.0,108655.0,966.0,9589.0,66407.0,31693.0
2016,CD,成衣及服飾品製造業,152769.0,114541.0,38228.0,301.0,1428.0,25563.0,10936.0
2016,CE,皮革、毛皮及其製品製造業,53987.0,35866.0,18121.0,127.0,2158.0,10952.0,4884.0
2016,CF,木竹製品製造業,48826.0,36512.0,12314.0,172.0,1252.0,9310.0,1580.0
2016,CG,紙漿、紙及紙製品製造業,223774.0,170736.0,53038.0,545.0,5408.0,32219.0,14866.0
2016,CH,印刷及資料儲存媒體複製業,126544.0,81522.0,45022.0,262.0,4811.0,31825.0,8124.0
2016,CI,石油及煤製品製造業,786905.0,590497.0,196408.0,99521.0,28438.0,26441.0,42008.0
2016,CJ,化學材料及肥料製造業,1921973.0,1545994.0,375979.0,2739.0,57401.0,92728.0,223111.0
2016,CK,其他化學製品製造業,307390.0,218617.0,88773.0,825.0,9047.0,42417.0,36484.0
