西元年,月,民國年,科學園區,產業,營業額
2016,10,民國105年10月,新竹科學園區,光電,124.88
2016,10,民國105年10月,新竹科學園區,其他,5.33
2016,10,民國105年10月,新竹科學園區,生物技術,8.22
2016,10,民國105年10月,新竹科學園區,積體電路,666.5
2016,10,民國105年10月,新竹科學園區,精密機械,28.12
2016,10,民國105年10月,新竹科學園區,總計,895.08
2016,10,民國105年10月,新竹科學園區,通訊,25.16
2016,10,民國105年10月,新竹科學園區,電腦及周邊,36.84
2016,10,民國105年10月,總　　計,光電,519.72
2016,10,民國105年10月,總　　計,其他,8.48
2016,10,民國105年10月,總　　計,生物技術,18.89
2016,10,民國105年10月,總　　計,積體電路,1418.36
2016,10,民國105年10月,總　　計,精密機械,82.48
2016,10,民國105年10月,總　　計,總計,2117.24
2016,10,民國105年10月,總　　計,通訊,28.52
2016,10,民國105年10月,總　　計,電腦及周邊,40.8
2016,11,民國105年11月,中部科學園區,光電,159.14
2016,11,民國105年11月,中部科學園區,其他,1.22
2016,11,民國105年11月,中部科學園區,生物技術,2.73
2016,11,民國105年11月,中部科學園區,積體電路,273.48
2016,11,民國105年11月,中部科學園區,精密機械,22.43
2016,11,民國105年11月,中部科學園區,總計,461.89
2016,11,民國105年11月,中部科學園區,通訊,0.06
2016,11,民國105年11月,中部科學園區,電腦及周邊,2.83
2016,11,民國105年11月,南部科學園區,光電,263.38
2016,11,民國105年11月,南部科學園區,其他,2.13
2016,11,民國105年11月,南部科學園區,生物技術,8.4
2016,11,民國105年11月,南部科學園區,積體電路,535.25
2016,11,民國105年11月,南部科學園區,精密機械,36.28
2016,11,民國105年11月,南部科學園區,總計,850.76
2016,11,民國105年11月,南部科學園區,通訊,3.78
2016,11,民國105年11月,南部科學園區,電腦及周邊,1.54
2016,11,民國105年11月,新竹科學園區,光電,124.4
2016,11,民國105年11月,新竹科學園區,其他,5.31
2016,11,民國105年11月,新竹科學園區,生物技術,9.09
2016,11,民國105年11月,新竹科學園區,積體電路,718.76
2016,11,民國105年11月,新竹科學園區,精密機械,34.69
2016,11,民國105年11月,新竹科學園區,總計,950.36
2016,11,民國105年11月,新竹科學園區,通訊,28.69
2016,11,民國105年11月,新竹科學園區,電腦及周邊,29.43
2016,11,民國105年11月,總　　計,光電,546.92
2016,11,民國105年11月,總　　計,其他,8.66
2016,11,民國105年11月,總　　計,生物技術,20.22
2016,11,民國105年11月,總　　計,積體電路,1527.49
2016,11,民國105年11月,總　　計,精密機械,93.4
2016,11,民國105年11月,總　　計,總計,2263.01
2016,11,民國105年11月,總　　計,通訊,32.54
2016,11,民國105年11月,總　　計,電腦及周邊,33.79
2016,12,民國105年12月,中部科學園區,光電,153.79
2016,12,民國105年12月,中部科學園區,其他,0.8
2016,12,民國105年12月,中部科學園區,生物技術,3.0
2016,12,民國105年12月,中部科學園區,積體電路,315.54
2016,12,民國105年12月,中部科學園區,精密機械,25.07
2016,12,民國105年12月,中部科學園區,總計,501.65
2016,12,民國105年12月,中部科學園區,通訊,0.08
2016,12,民國105年12月,中部科學園區,電腦及周邊,3.37
2016,12,民國105年12月,南部科學園區,光電,270.27
2016,12,民國105年12月,南部科學園區,其他,2.22
2016,12,民國105年12月,南部科學園區,生物技術,8.53
2016,12,民國105年12月,南部科學園區,積體電路,622.1
2016,12,民國105年12月,南部科學園區,精密機械,36.0
2016,12,民國105年12月,南部科學園區,總計,944.95
2016,12,民國105年12月,南部科學園區,通訊,4.38
2016,12,民國105年12月,南部科學園區,電腦及周邊,1.44
2016,12,民國105年12月,新竹科學園區,光電,122.31
2016,12,民國105年12月,新竹科學園區,其他,4.97
2016,12,民國105年12月,新竹科學園區,生物技術,8.31
2016,12,民國105年12月,新竹科學園區,積體電路,729.1
2016,12,民國105年12月,新竹科學園區,精密機械,35.67
2016,12,民國105年12月,新竹科學園區,總計,968.91
2016,12,民國105年12月,新竹科學園區,通訊,36.47
2016,12,民國105年12月,新竹科學園區,電腦及周邊,32.09
2016,12,民國105年12月,總　　計,光電,546.38
2016,12,民國105年12月,總　　計,其他,7.99
2016,12,民國105年12月,總　　計,生物技術,19.83
2016,12,民國105年12月,總　　計,積體電路,1666.74
2016,12,民國105年12月,總　　計,精密機械,96.74
2016,12,民國105年12月,總　　計,總計,2415.51
2016,12,民國105年12月,總　　計,通訊,40.93
2016,12,民國105年12月,總　　計,電腦及周邊,36.9
2017,1,民國106年1月,中部科學園區,光電,133.37
2017,1,民國106年1月,中部科學園區,其他,1.21
2017,1,民國106年1月,中部科學園區,生物技術,3.16
