YearMonth,District,PowerUsage_100M_kWh,StationName,MeanTemp,SunshineHrs
201906,寶山,3.0874,Hsinchu,28.3,161.2
201906,新市,5.2729,Tainan,29.3,183.5
201906,新竹市,6.3626,Hsinchu,28.3,161.2
201906,西屯區,5.5404,Taichung,28.2,123.2
201907,安定,0.5731,Tainan,29.2,174.2
201907,寶山,3.2444,Hsinchu,30.2,236
201907,新市,5.4864,Tainan,29.2,174.2
201907,新竹市,6.7694,Hsinchu,30.2,236
201907,西屯區,5.8802,Taichung,29.4,165.2
201908,安定,0.6036,Tainan,28.7,122
201908,寶山,3.2301,Hsinchu,29.5,212.7
201908,新市,5.5456,Tainan,28.7,122
201908,新竹市,6.75,Hsinchu,29.5,212.7
201908,西屯區,5.8801,Taichung,28.4,93
201909,安定,0.6406,Tainan,28.4,202.6
201909,寶山,3.0526,Hsinchu,27.2,196.1
201909,新市,5.3121,Tainan,28.4,202.6
201909,新竹市,6.2991,Hsinchu,27.2,196.1
201909,西屯區,5.5858,Taichung,27.7,150.5
201910,安定,0.8422,Tainan,27.1,173.5
201910,寶山,3.0624,Hsinchu,25.2,238.6
201910,新市,5.4312,Tainan,27.1,173.5
201910,新竹市,6.3714,Hsinchu,25.2,238.6
201910,西屯區,5.6351,Taichung,26.1,214.2
201911,安定,0.8996,Tainan,23.5,229.2
201911,寶山,2.8662,Hsinchu,21.8,190.7
201911,新市,5.1268,Tainan,23.5,229.2
201911,新竹市,5.9448,Hsinchu,21.8,190.7
201911,西屯區,5.3518,Taichung,23,239.3
201912,安定,1.0209,Tainan,19.8,182.5
201912,寶山,2.9247,Hsinchu,18.3,120.4
201912,新市,5.1722,Tainan,19.8,182.5
201912,新竹市,6.0095,Hsinchu,18.3,120.4
201912,西屯區,5.4811,Taichung,19.3,204.5
202001,安定,1.1326,Tainan,19,244.5
202001,寶山,2.9058,Hsinchu,16.7,134.4
202001,新市,5.0543,Tainan,19,244.5
202001,新竹市,5.8018,Hsinchu,16.7,134.4
202001,西屯區,5.4594,Taichung,18,225.1
202002,安定,1.1936,Tainan,20,226.4
202002,寶山,2.7559,Hsinchu,17.6,150.7
202002,新市,4.8455,Tainan,20,226.4
202002,新竹市,5.6915,Hsinchu,17.6,150.7
202002,西屯區,5.2647,Taichung,19,212.5
202003,安定,1.4613,Tainan,23.3,230.2
202003,寶山,2.9971,Hsinchu,20,109.6
202003,新市,5.2653,Tainan,23.3,230.2
202003,新竹市,6.1067,Hsinchu,20,109.6
202003,西屯區,5.7612,Taichung,22.3,178
202004,安定,1.5304,Tainan,23.4,203.8
202004,寶山,2.9153,Hsinchu,20.5,116.7
202004,新市,5.129,Tainan,23.4,203.8
202004,新竹市,5.9397,Hsinchu,20.5,116.7
202004,西屯區,5.5501,Taichung,22.2,154.5
202005,安定,1.7369,Tainan,28.1,222
202005,寶山,3.1906,Hsinchu,26.6,159.5
202005,新市,5.5221,Tainan,28.1,222
202005,新竹市,6.5422,Hsinchu,26.6,159.5
202005,西屯區,6.0015,Taichung,27.5,167.2
202006,安定,1.6563,Tainan,30.1,271.8
202006,寶山,3.1658,Hsinchu,29.7,261.5
202006,新市,5.4491,Tainan,30.1,271.8
202006,新竹市,6.5399,Hsinchu,29.7,261.5
202006,西屯區,5.9943,Taichung,29.1,211.9
202007,安定,1.7159,Tainan,30.2,232.9
202007,寶山,3.3041,Hsinchu,30.8,256.2
202007,新市,5.6524,Tainan,30.2,232.9
202007,新竹市,6.9053,Hsinchu,30.8,256.2
202007,西屯區,6.2908,Taichung,29.6,215.1
202008,安定,1.7373,Tainan,28.8,177.7
202008,寶山,3.3147,Hsinchu,29.6,217.2
202008,新市,5.6689,Tainan,28.8,177.7
202008,新竹市,6.8687,Hsinchu,29.6,217.2
202008,西屯區,6.2879,Taichung,28.5,174.5
202009,安定,1.9953,Tainan,29.3,239.1
202009,寶山,3.1683,Hsinchu,27.5,171.8
202009,新市,5.4915,Tainan,29.3,239.1
202009,新竹市,6.5197,Hsinchu,27.5,171.8
202009,西屯區,6.0516,Taichung,28.1,198.6
202010,安定,2.0241,Tainan,26.8,225.6
202010,寶山,3.1759,Hsinchu,24.9,202.3
202010,新市,5.5839,Tainan,26.8,225.6
202010,新竹市,6.4421,Hsinchu,24.9,202.3
202010,西屯區,6.0672,Taichung,26.1,220.1
202011,安定,1.9819,Tainan,24.2,168.6
202011,寶山,0.6509,Hsinchu,23.3,181.7
202011,新市,5.3769,Tainan,24.2,168.6
202011,新竹市,8.5563,Hsinchu,23.3,181.7
202011,西屯區,5.7979,Taichung,23.9,182.9
202012,安定,1.8322,Tainan,20.1,153.3
202012,寶山,0.6541,Hsinchu,18,62.4
202012,新市,5.4058,Tainan,20.1,153.3
202012,新竹市,8.5027,Hsinchu,18,62.4
202012,西屯區,5.8355,Taichung,19.5,156.2
202101,安定,1.2537,Tainan,16.5,202
202101,寶山,0.7835,Hsinchu,15.3,148.6
202101,新市,5.2361,Tainan,16.5,202
202101,新竹市,8.3465,Hsinchu,15.3,148.6
202101,西屯區,5.7242,Taichung,16,225.9
202102,安定,1.8408,Tainan,19.7,224.3
202102,寶山,0.4646,Hsinchu,17.9,178.4
202102,新市,4.7656,Tainan,19.7,224.3
202102,新竹市,7.653,Hsinchu,17.9,178.4
202102,西屯區,5.1511,Taichung,19,229.9
202103,安定,2.471,Tainan,22.4,248
202103,寶山,0.6648,Hsinchu,19.2,139.2
202103,新市,5.4203,Tainan,22.4,248
202103,新竹市,8.6651,Hsinchu,19.2,139.2
202103,西屯區,5.9484,Taichung,21.5,213.1
202104,安定,2.1317,Tainan,24.6,222.3
202104,寶山,0.6572,Hsinchu,22.1,131.1
202104,新市,5.3472,Tainan,24.6,222.3
202104,新竹市,8.2957,Hsinchu,22.1,131.1
202104,西屯區,5.8357,Taichung,23.9,175.7
202105,安定,2.546,Tainan,29,288.9
202105,寶山,0.8798,Hsinchu,27.5,186.7
202105,新市,5.747,Tainan,29,288.9
202105,新竹市,9.2446,Hsinchu,27.5,186.7
