,"國內生產及要素所得",
,,,,,,,,"單位：新臺幣百萬元"
"統計期","行業","生產總額","中間消費","國內生產毛額","生產及進口稅淨額","固定資本消耗","受僱人員報酬","營業盈餘"
"107年","H.運輸及倉儲業",1365502,827547,537955,7138,120305,268230,142282
"107年","I.住宿及餐飲業",1026507,551676,474831,6887,36213,296035,135696
"107年","J.出版影音及資通訊業",1026272,460488,565784,12103,118037,276599,159045
"107年","K.金融及保險業",1758928,544111,1214817,62679,116117,627773,408248
"107年","L.不動產及住宅服務業",1933084,436637,1496447,64555,212717,76474,1142701
"107年","M.專業、科學及技術服務業",726898,303247,423651,4259,70711,244742,103939
"107年","N.支援服務業",468117,147993,320124,4413,45292,230156,40263
"107年","O.公共行政及國防；強制性社會安全",1531284,455371,1075913,6684,344126,725103,0
"107年","P.教育業",908912,162205,746707,-13594,60675,679179,20447
"107年","Q.醫療保健及社會工作服務業",884762,323687,561075,-7714,54246,418777,95766
"107年","R.藝術、娛樂及休閒服務業",233707,85176,148531,5943,13011,104712,24865
"107年","S.其他服務業",676555,238489,438066,12196,10342,338137,77391
"107年","合計",40038045,22132265,17905780,500532,2895960,8451175,6058113
"107年","進口稅",203755,0,203755,203755,0,0,0
"107年","加值型營業稅",329844,0,329844,329844,0,0,0
"107年","總計(生產面)",40571644,22132265,18439379,1034131,2895960,8451175,6058113
"107年","補充項目:ICT產業",7810593,4492754,3317839,22124,1111312,1143907,1040496
"108年","A.農、林、漁、牧業",610253,289897,320356,-16400,23789,63413,249554
"108年","B.礦業及土石採取業",20779,8824,11955,640,3424,3728,4163
"108年","C.製造業",19769279,13693510,6075769,269177,1432530,2518668,1855394
"108年","　CA.食品及飼品製造業",827361,648265,179096,4362,13738,88276,72720
"108年","　CB.飲料及菸草製造業",163758,52728,111030,81699,4642,19081,5608
"108年","　CC.紡織業",385092,279602,105490,980,9135,71355,24020
"108年","　CD.成衣及服飾品製造業",167228,131006,36222,153,1491,26424,8154
"108年","　CE.皮革、毛皮及其製品製造業",50128,33848,16280,131,2548,11010,2591
"108年","　CF.木竹製品製造業",46603,34401,12202,155,1158,9516,1373
"108年","　CG.紙漿、紙及紙製品製造業",248616,184138,64478,545,5842,35694,22397
"108年","　CH.印刷及資料儲存媒體複製業",124757,78763,45994,254,5342,33868,6530
"108年","　CI.石油及煤製品製造業",1142371,969201,173170,97382,28577,28032,19179
"108年","　CJ.化學材料及肥料製造業",1993035,1582805,410230,2731,59435,105660,242404
"108年","　CK.其他化學製品製造業",338667,237873,100794,937,10229,48931,40697
"108年","　CL.藥品及醫用化學製品製造業",122908,70485,52423,332,9580,26277,16234
"108年","　CM.橡膠製品製造業",123906,76855,47051,1607,5075,30404,9965
"108年","　CN.塑膠製品製造業",508977,356509,152468,1795,12697,86133,51843
"108年","　CO.非金屬礦物製品製造業",394584,285372,109212,7928,20685,68758,11841
"108年","　CP.基本金屬製造業",1705566,1417530,288036,4701,35020,102791,145524
"108年","　CQ.金屬製品製造業",1106481,736873,369608,5238,34804,239052,90514
"108年","　CR.電子零組件製造業",5082844,2796829,2286015,5506,911582,689588,679339
"108年","　CS.電腦、電子產品及光學製品製造業",1930567,1338592,591975,4432,152235,274052,161256
"108年","　CT.電力設備及配備製造業",728316,545022,183294,5592,27246,101636,48820
"108年","　CU.機械設備製造業",1021974,724658,297316,4506,27108,178031,87671
"108年","　CV.汽車及其零件製造業",488370,344095,144275,29322,24608,63750,26595
"108年","　CW.其他運輸工具及其零件製造業",449154,334579,114575,7871,14221,62870,29613
"108年","　CX.家具製造業",92112,68626,23486,211,1864,16056,5355
"108年","　CY.其他製造業",525904,364855,161049,807,13668,101423,45151
