,"國內各業生產及平減指數-年"
,,,,,""
"統計期","行業","生產總額_當期價格(新臺幣百萬元)","中間消費_當期價格(新臺幣百萬元)","國內生產毛額_當期價格(新臺幣百萬元)","國內生產毛額_連鎖實質值(2021為參考年_新臺幣百萬元)","國內生產毛額_平減指數(2021年=100)",
"107年","N.支援服務業","468,117","147,993","320,124","328,168","97.55",
"107年","O.公共行政及國防；強制性社會安全","1,531,284","455,371","1,075,913","1,134,254","94.86",
"107年","P.教育業","908,912","162,205","746,707","759,563","98.31",
"107年","Q.醫療保健及社會工作服務業","884,762","323,687","561,075","612,502","91.60",
"107年","R.藝術、娛樂及休閒服務業","233,707","85,176","148,531","152,502","97.40",
"107年","S.其他服務業","676,555","238,489","438,066","455,308","96.21",
"107年","合計","40,038,045","22,132,265","17,905,780","18,693,215","95.79",
"107年","進口稅","203,755","-","203,755","176,382","115.52",
"107年","加值型營業稅","329,844","-","329,844","333,894","98.79",
"107年","總計(生產面)","40,571,644","22,132,265","18,439,379","19,200,322","96.04",
"107年","GDP","-","-","18,420,039","19,142,600","96.23",
"107年","補充項目:ICT產業","7,810,593","4,492,754","3,317,839","3,231,538","102.67",
"108年","A.農、林、漁、牧業","610,253","289,897","320,356","333,453","96.07",
"108年","B.礦業及土石採取業","20,779","8,824","11,955","11,444","104.47",
"108年","C.製造業","19,769,279","13,693,510","6,075,769","6,241,874","97.34",
"108年","CA.食品及飼品製造業","827,361","648,265","179,096","169,781","105.49",
"108年","CB.飲料及菸草製造業","163,758","52,728","111,030","108,527","102.31",
"108年","CC.紡織業","385,092","279,602","105,490","101,435","104.00",
"108年","CD.成衣及服飾品製造業","167,228","131,006","36,222","40,842","88.69",
"108年","CE.皮革、毛皮及其製品製造業","50,128","33,848","16,280","20,859","78.05",
"108年","CF.木竹製品製造業","46,603","34,401","12,202","12,791","95.40",
"108年","CG.紙漿、紙及紙製品製造業","248,616","184,138","64,478","74,214","86.88",
"108年","CH.印刷及資料儲存媒體複製業","124,757","78,763","45,994","44,586","103.16",
"108年","CI.石油及煤製品製造業","1,142,371","969,201","173,170","159,136","108.82",
"108年","CJ.化學材料及肥料製造業","1,993,035","1,582,805","410,230","420,956","97.45",
"108年","CK.其他化學製品製造業","338,667","237,873","100,794","87,667","114.97",
"108年","CL.藥品及醫用化學製品製造業","122,908","70,485","52,423","53,863","97.33",
"108年","CM.橡膠製品製造業","123,906","76,855","47,051","46,026","102.23",
"108年","CN.塑膠製品製造業","508,977","356,509","152,468","150,636","101.22",
"108年","CO.非金屬礦物製品製造業","394,584","285,372","109,212","121,924","89.57",
"108年","CP.基本金屬製造業","1,705,566","1,417,530","288,036","407,714","70.65",
"108年","CQ.金屬製品製造業","1,106,481","736,873","369,608","354,747","104.19",
"108年","CR.電子零組件製造業","5,082,844","2,796,829","2,286,015","2,428,760","94.12",
"108年","CS.電腦、電子產品及光學製品製造業","1,930,567","1,338,592","591,975","572,863","103.34",
"108年","CT.電力設備及配備製造業","728,316","545,022","183,294","183,895","99.67",
"108年","CU.機械設備製造業","1,021,974","724,658","297,316","254,935","116.62",
"108年","CV.汽車及其零件製造業","488,370","344,095","144,275","133,382","108.17",
